bname,btype,ra,dec,catalogue,nt,nb,z,fieldsize,countingmag,bgb,bgb_err
164419.97+454644.3,candidate,251.083206177,45.7789993286,plotkin,41,29,0.225,113.069086104,-19.1837,189.016301103,123.032125396
BZBJ1508+2709,bllac,227.17758,27.15208,bzcat,34,30,0.27,95.2202558342,-19.1837,65.864166487,121.781935483
BZBJ2350+1941,bllac,357.50717,19.69764,bzcat,8,9,0.515,52.9979391417,-20.1477439207,-37.6255216046,-151.486536663
BZBJ0829+1754,candidate,127.27021,17.90433,bzcat,159,204,0.089,277.260285076,-19.1837,-890.623059048,-390.732966644
BZBJ2005+7752,bllac,301.37888,77.87864,bzcat,12,13,0.342,76.4764825252,-19.1837,-21.6007150496,-103.525807209
084712.93+113350.2,bllac,131.803878784,11.5639600754,plotkin,48,37,0.198,127.691297658,-19.1837,181.903296841,141.80128557
BZUJ0912+5320,uncertain,138.007,53.34325,bzcat,107,121,0.102,242.607116811,-19.1837,-281.156756539,-296.849465481
132231.46+134429.8,bllac,200.631118774,13.7416400909,plotkin,11,11,0.377,69.967916824,-19.3371506766,0.0,0.0
BZBJ0930+3933,bllac,142.73683,39.55997,bzcat,10,6,0.638,44.1289463163,-20.7149274011,234.676193376,220.614345144
BZBJ1532+3016,bllac,233.00933,30.27472,bzcat,461,385,0.065,377.681494183,-19.1837,1463.49329562,519.086559366
BZBJ1136+2550,bllac,174.20875,25.84786,bzcat,71,59,0.156,160.534126383,-19.1837,189.917674115,167.274662684
BZBJ1248+0830,bllac,192.10792,8.50583,bzcat,7,9,0.43,62.1464819973,-19.6765731406,-47.5504839722,-98.6314416556
BZBJ0124+0918,bllac,21.18533,9.31389,bzcat,16,12,0.338,77.3069148862,-19.1837,86.0862006561,106.046878828
135314.08+374113.9,bllac,208.308700562,37.687210083,plotkin,44,46,0.216,117.535530116,-19.1837,-31.2182765019,-139.385322053
134136.23+551437.9,bllac,205.4009552,55.2438812256,plotkin,26,19,0.207,122.391875871,-19.1837,108.270118175,96.7285057209
BZBJ1325+6621,bllac,201.37542,66.35417,bzcat,34,34,0.21,120.726682546,-19.1837,0.0,0.0
BZQJ2145+1115,fsrq,326.32825,11.25758,bzcat,8,2,0.548,50.2208112666,-20.3114118184,256.861519787,131.11404519
TeV J1221+301,bllac,185.359583333,30.1913888889,tevcat,28,28,0.182,138.410927652,-19.1837,0.0,0.0
