bname,ra,dec,classification,InNED,umag,gmag,rmag,imag,zmag,z,f_Zspec,C,Sp-Index,Comments,Zhg,FAGN,logOL,RFlag,Rflux,logRL,XFlag,Xflux,logXL,Ind-RO,Ind-OX,btype,catalog
135158.20+554210.8,207.99252,55.70302,H,Y,20.15,19.68,19.22,18.86,18.64,,U,,1.43,"P08            ",0.507,18.63,29.819,F,83.4,32.839,U,1.159,26.13,0.595,1.416,bllac,plotkin
135314.08+374113.9,208.3087,37.68721,H,N,18.55,17.96,17.34,17.04,16.8,0.216,R,0.281,1.04,"A07;P08        ",,17.0,29.71,F,34.19,31.703,R,8.976,26.129,0.392,1.375,bllac,plotkin
135322.84+143539.2,208.34518,14.59423,H,N,19.69,19.23,18.78,18.46,18.13,,U,,1.66,,0.466,18.09,29.922,F,420.33,33.469,U,2.489,26.371,0.698,1.364,bllac,plotkin
135328.04+560056.9,208.36687,56.01583,H,Y,19.16,18.83,18.48,18.21,18.02,,U,,1.24,"A07;P08        ",0.387,18.45,29.815,F,18.85,31.958,R,30.19,27.256,0.422,0.983,bllac,plotkin
135426.69+370654.5,208.61122,37.11516,H,Y,18.02,17.63,17.33,17.12,16.86,0.384,R,0.105,0.83,"P08            ",,17.3,30.247,F,20.0,31.977,U,1.581,25.966,0.341,1.644,bllac,plotkin
135444.21+062248.1,208.68422,6.38004,H,N,20.12,19.65,19.02,18.68,18.34,0.276,R,0.184,0.83,,,18.95,29.259,F,26.59,31.812,U,2.634,25.846,0.503,1.31,bllac,plotkin
135712.95-014600.5,209.30399,-1.76683,H,N,20.83,20.38,19.76,19.22,18.88,0.547,T,0.215,1.04,"A07            ",,18.8,29.863,F,12.56,32.083,R,10.63,27.175,0.437,1.032,bllac,plotkin
135738.70+012813.6,209.41125,1.47045,H,Y,18.63,18.22,17.82,17.55,17.26,,U,,1.16,"C05;A07;P08    ",0.273,17.73,29.738,F,66.33,32.198,R,25.99,26.828,0.484,1.118,bllac,plotkin
140121.13+520928.9,210.33807,52.15803,H,N,20.69,20.25,19.63,19.14,18.76,0.482,R,0.239,1.37,"A07;P08        ",,18.74,29.724,F,15.75,32.071,R,7.159,26.866,0.462,1.097,bllac,plotkin
140127.23+484841.7,210.3635,48.8116,H,N,19.41,19.64,19.56,19.18,18.81,,U,,0.86,,0.631,18.79,30.025,U,0.89,31.056,U,2.234,26.655,0.203,1.294,bllac,plotkin
140138.72+361121.9,210.41136,36.18942,H,N,20.41,19.73,19.17,18.76,18.43,0.507,R,0.152,1.56,"P08            ",,18.41,29.898,F,82.98,32.837,U,1.469,26.233,0.579,1.407,bllac,plotkin
140330.85+360651.1,210.87856,36.11422,H,N,21.36,20.41,19.46,19.04,18.7,0.25,R,0.291,1.17,"P08            ",,19.03,29.031,F,3.06,30.783,U,1.39,25.465,0.345,1.369,bllac,plotkin
140350.28+243304.8,210.9595,24.55133,H,N,20.06,19.75,19.23,18.86,18.55,0.343,R,0.262,0.7,,,19.17,29.378,F,3.75,31.15,R,6.489,26.46,0.349,1.12,bllac,plotkin
140438.58+501116.4,211.16077,50.18791,H,N,19.33,19.25,19.32,19.49,19.6,1.52,T,,-0.12,,,19.27,30.591,U,0.93,31.785,U,1.522,27.486,0.235,1.192,bllac,plotkin
140449.57+655431.6,211.20654,65.90878,H,Y,19.55,19.12,18.67,18.31,18.03,0.363,R,0.208,0.98,"C05;A07        ",,18.63,29.663,N,13.752,31.764,R,28.79,27.167,0.414,0.958,bllac,plotkin
140450.91+040202.1,211.21213,4.03393,H,Y,16.85,16.56,16.31,16.15,15.97,,U,,0.72,"C05;A07;P08    ",0.154,16.09,29.781,F,41.86,31.493,R,37.66,26.419,0.337,1.291,bllac,plotkin
140519.62+305351.7,211.33179,30.8977,H,N,21.23,20.57,19.68,19.33,19.07,0.343,R,0.274,0.88,,,19.65,29.196,F,4.82,31.261,R,4.561,26.309,0.406,1.109,bllac,plotkin
140630.18+123620.4,211.62575,12.60568,H,Y,20.21,19.87,19.58,19.24,19.01,0.695,R,0.196,0.89,,,18.96,30.056,F,4.32,31.824,R,22.96,27.775,0.348,0.876,bllac,plotkin
140641.39+481824.8,211.67247,48.30689,H,N,20.19,19.95,19.69,19.4,19.11,,U,,1.36,"A07;P08        ",0.64,19.07,29.907,F,4.17,31.738,R,14.92,27.496,0.361,0.926,bllac,plotkin
140642.75+530833.8,211.67813,53.14274,H,N,20.88,20.35,19.77,19.32,19.09,0.458,R,0.296,0.92,"A07;P08        ",,19.08,29.57,F,9.26,31.796,R,3.273,26.47,0.438,1.19,bllac,plotkin
140923.50+593940.7,212.34792,59.66131,H,Y,19.57,19.24,18.89,18.58,18.37,0.496,R,0.265,0.89,"C05;A07;P08    ",,18.35,29.95,F,23.3,32.266,R,16.61,27.262,0.456,1.032,bllac,plotkin
141003.91+051557.7,212.51633,5.26604,H,N,20.58,20.14,19.7,19.23,18.99,0.544,R,0.256,1.13,"C05;P08        ",,18.95,29.789,F,6.43,31.787,U,3.894,26.734,0.393,1.173,bllac,plotkin
141004.65+020306.9,212.5194,2.05192,H,Y,19.23,18.65,18.15,17.78,17.46,,U,,1.71,"C05;P08        ",0.311,18.06,29.756,F,319.99,32.996,U,2.903,26.01,0.638,1.439,bllac,plotkin
141029.55+282055.7,212.62315,28.34883,H,Y,18.04,17.73,17.46,17.22,17.02,,U,,1.33,,0.351,17.41,30.132,F,22.84,31.956,R,16.4,26.888,0.359,1.246,bllac,plotkin
141030.84+610012.8,212.6285,61.00356,H,N,20.09,19.8,19.14,18.79,18.4,0.383,R,0.313,1.31,"C05;A07;P08    ",,19.09,29.553,F,5.36,31.404,R,30.59,27.252,0.364,0.884,bllac,plotkin
141140.54+340424.4,212.91895,34.07345,H,Y,21.21,20.52,19.69,19.26,18.94,0.421,R,0.341,0.58,"A07;P08        ",,18.91,29.589,F,64.48,32.566,R,6.796,26.698,0.586,1.11,bllac,plotkin
141522.41+270318.2,213.8434,27.05507,H,N,21.94,21.08,20.03,19.64,19.15,,U,,2.72,,0.677,19.12,29.915,F,1.7,31.397,U,1.597,26.588,0.292,1.277,bllac,plotkin
141536.80+483030.4,213.90334,48.50847,H,Y,19.68,19.23,18.78,18.39,18.13,0.496,T,0.175,1.27,"P08            ",,18.11,30.016,F,43.61,32.539,U,2.218,26.388,0.497,1.393,bllac,plotkin
141756.67+254326.2,214.48615,25.72395,H,Y,18.03,17.71,17.27,17.02,16.82,0.236,R,0.143,0.5,,,16.98,29.853,F,42.38,31.876,R,238.4,27.643,0.398,0.848,bllac,plotkin
141826.32-023334.1,214.6097,-2.55948,H,N,17.38,17.0,16.64,16.4,16.13,,U,,0.68,"C05;P08        ",0.163,16.27,29.767,F,43.45,31.56,U,4.87,25.586,0.353,1.605,bllac,plotkin
141927.49+044513.7,214.86456,4.75383,H,N,18.91,18.46,18.18,17.98,17.79,1.691,L,,0.99,"C05;P08        ",,18.09,31.52,F,26.46,33.318,U,3.066,27.913,0.354,1.385,bllac,plotkin
141946.59+542314.7,214.94415,54.38744,H,Y,16.39,15.9,15.47,15.2,14.95,0.153,R,0.113,1.35,"A07;P08        ",,15.18,30.067,F,583.67,32.629,R,12.82,25.942,0.504,1.584,bllac,plotkin
142013.68+061428.6,215.05704,6.24129,H,N,21.01,20.2,18.9,18.5,17.77,0.625,L,0.179,2.83,"P08            ",,17.73,30.357,F,53.44,32.826,U,4.438,26.943,0.486,1.311,bllac,plotkin
142106.41+315940.9,215.27673,31.99471,H,N,19.77,19.45,19.13,18.91,18.91,,U,,1.11,,0.548,18.89,29.822,U,0.98,30.977,U,1.424,26.304,0.227,1.35,bllac,plotkin
142238.89+580155.5,215.66205,58.03209,H,Y,18.41,18.22,18.09,17.93,17.81,,U,,0.7,"C05;A07;P08    ",0.392,17.8,29.949,F,9.38,31.666,R,255.2,28.196,0.338,0.673,bllac,plotkin
142304.61+373730.5,215.76923,37.62515,H,N,19.46,18.91,18.48,18.14,17.85,,U,,1.23,"P08            ",0.405,17.82,29.916,F,39.93,32.324,U,1.047,25.844,0.474,1.563,bllac,plotkin
142330.67+141247.8,215.87782,14.21328,H,N,19.9,19.57,19.3,18.98,18.7,,U,,1.41,,0.643,18.67,30.074,F,32.65,32.636,U,9.615,27.31,0.504,1.061,bllac,plotkin
142409.50+043452.0,216.0396,4.58114,H,Y,18.67,18.15,17.72,17.38,17.08,,U,,1.49,"C05;P08        ",0.295,17.65,29.857,F,159.86,32.648,U,2.834,25.945,0.55,1.502,bllac,plotkin
142421.17+370552.8,216.08824,37.09802,H,Y,20.46,19.69,18.63,18.22,17.88,0.29,R,0.354,1.06,"A07;P08        ",,18.6,29.449,F,67.86,32.26,R,6.274,26.271,0.553,1.22,bllac,plotkin
142422.91+343356.7,216.09546,34.56577,H,Y,20.12,19.82,19.46,19.08,18.75,0.576,R,0.2,0.61,"A07;P08        ",,18.73,29.967,F,7.7,31.915,R,17.82,27.457,0.383,0.964,bllac,plotkin
142436.29+144910.5,216.15125,14.8196,H,N,19.67,19.39,19.07,18.8,18.58,,U,,0.8,,0.47,18.55,29.819,F,8.06,31.759,U,9.696,26.97,0.382,1.094,bllac,plotkin
142455.50+361536.0,216.23128,36.26001,H,Y,18.43,18.01,17.62,17.36,17.13,,U,,1.04,"A07;P08        ",0.332,17.59,29.992,F,87.77,32.492,R,3.052,26.099,0.492,1.495,bllac,plotkin
142526.18-011825.8,216.3591,-1.30717,H,Y,19.78,19.38,19.1,18.83,18.54,,U,,1.37,"C05;P08        ",0.62,18.48,30.107,F,10.04,32.093,U,4.545,26.944,0.391,1.214,bllac,plotkin
142605.78+531558.6,216.5241,53.2663,H,N,21.52,20.59,19.75,19.35,18.87,,U,,2.56,,0.626,18.85,29.922,F,2.66,31.524,U,1.048,26.318,0.315,1.384,bllac,plotkin
142607.71+340426.3,216.53217,34.07397,H,Y,18.04,17.65,17.38,17.12,16.92,,U,,1.11,"A07;P08        ",0.32,17.33,30.06,F,35.7,32.069,R,4.298,26.21,0.395,1.478,bllac,plotkin
142645.52+241523.0,216.6897,24.25641,H,N,19.68,19.36,19.09,18.91,18.76,,U,,0.75,"P08            ",0.523,18.71,29.867,F,9.39,31.918,U,2.812,26.549,0.404,1.274,bllac,plotkin
142832.60+424021.0,217.13586,42.67252,H,Y,17.45,17.09,16.77,16.64,16.39,0.129,R,0.177,0.42,"A07;P08        ",,16.61,29.446,F,43.58,31.356,R,536.4,27.404,0.376,0.784,bllac,plotkin
142904.61+120410.2,217.26923,12.06951,H,N,19.74,19.49,19.3,19.1,18.91,,U,,0.75,"A07;P08        ",0.631,18.86,29.999,F,7.41,31.976,R,23.61,27.679,0.389,0.891,bllac,plotkin
143327.60+244117.7,218.365,24.68825,H,N,19.6,19.38,19.06,18.82,18.57,,U,,1.18,"A07;P08        ",0.523,18.53,29.913,F,17.12,32.178,R,15.24,27.283,0.446,1.01,bllac,plotkin
143657.71+563924.8,219.2405,56.65689,H,Y,18.9,18.62,18.42,18.2,18.03,,U,,0.8,"C05;A07;P08    ",0.396,18.0,29.866,F,17.54,31.947,R,27.45,27.239,0.41,1.009,bllac,plotkin
143716.15+471726.4,219.31732,47.29067,H,N,20.52,20.15,19.81,19.53,19.14,,U,,1.83,"P08            ",0.7,19.12,29.982,F,98.09,33.186,U,1.583,26.621,0.631,1.29,bllac,plotkin
143758.67+300207.1,219.4945,30.03531,H,N,20.22,19.64,19.24,18.9,18.6,0.758,L,0.094,1.0,,,18.58,30.298,F,63.47,33.064,U,1.302,26.626,0.545,1.41,bllac,plotkin
143832.30+292210.3,219.63458,29.36953,H,N,19.91,19.5,19.14,18.86,18.68,,U,,1.15,,0.621,18.66,30.049,F,27.12,32.526,U,1.318,26.409,0.488,1.398,bllac,plotkin
143917.47+393242.8,219.82283,39.54523,H,Y,17.17,16.91,16.81,16.49,16.37,,U,,0.71,"A07;P08        ",0.174,16.47,29.745,F,44.12,31.624,R,156.6,27.157,0.37,0.994,bllac,plotkin
143946.13+460311.1,219.94223,46.05309,H,N,19.56,19.36,19.09,19.03,18.99,,U,,0.54,"P08            ",0.594,18.97,29.904,F,132.34,33.176,U,1.658,26.459,0.644,1.323,bllac,plotkin
143946.96+495805.4,219.9457,49.96817,H,N,18.58,18.08,17.58,17.23,16.95,,U,,1.88,"A07;P08        ",0.29,17.51,29.903,F,98.88,32.425,R,2.713,25.908,0.496,1.534,bllac,plotkin
144045.05+334322.2,220.18771,33.72286,H,N,19.8,19.54,19.34,19.09,19.09,,U,,0.98,,0.546,19.07,29.756,U,0.97,30.969,U,1.451,26.309,0.239,1.324,bllac,plotkin
144052.93+061016.1,220.22058,6.17116,H,Y,17.96,17.52,17.18,16.9,16.68,,U,,1.41,"A07;P08        ",0.254,16.83,29.912,F,58.35,32.079,R,8.906,26.289,0.427,1.391,bllac,plotkin
144207.15+434836.6,220.5298,43.81019,H,N,18.87,18.45,18.09,17.81,17.63,0.673,L,0.089,1.14,"P08            ",,17.59,30.564,F,23.0,32.523,U,1.674,26.602,0.386,1.521,bllac,plotkin
144248.28+120040.2,220.70119,12.01119,H,Y,18.4,17.91,17.39,17.1,16.85,0.163,R,0.171,0.82,"A07;P08        ",,17.04,29.445,F,71.27,31.775,R,121.4,26.983,0.459,0.945,bllac,plotkin
144334.40+251558.2,220.89337,25.26619,H,N,19.91,19.5,19.04,18.69,18.39,0.529,R,0.145,0.7,,,18.34,30.032,F,5.29,31.678,U,2.405,26.494,0.324,1.359,bllac,plotkin
144434.90+633606.0,221.14545,63.60167,H,Y,20.72,20.16,19.24,18.86,18.52,0.298,R,0.322,0.48,"C05;A07;P08    ",,19.19,29.23,F,13.25,31.576,R,21.28,26.831,0.462,0.921,bllac,plotkin
144632.57+412729.9,221.63573,41.45833,H,N,20.94,20.54,20.09,19.68,19.35,0.638,T,0.205,1.44,"A07;P08        ",,19.33,29.798,F,43.16,32.751,R,3.284,26.836,0.581,1.138,bllac,plotkin
144800.58+360831.0,222.00243,36.14197,H,Y,17.37,17.0,16.78,16.52,16.43,,U,,0.86,"A07;P08        ",0.178,16.5,29.74,F,30.92,31.489,R,66.69,26.809,0.344,1.126,bllac,plotkin
144932.70+274621.6,222.38626,27.77269,H,Y,19.67,19.03,18.3,17.93,17.57,0.227,R,0.268,0.87,,,17.86,29.432,F,68.28,32.049,R,69.75,27.07,0.515,0.907,bllac,plotkin
145059.99+520111.7,222.74995,52.01993,H,N,19.44,18.89,18.54,18.23,17.96,2.469,T,,1.34,"P08            ",,18.47,31.933,F,41.48,33.779,U,1.087,27.896,0.364,1.55,bllac,plotkin
145111.70+580003.0,222.79877,58.00084,H,N,20.94,20.32,19.37,18.87,18.5,0.405,R,0.339,1.09,"C05;P08        ",,18.48,29.669,F,7.27,31.584,U,1.336,25.95,0.377,1.428,bllac,plotkin
145427.12+512433.7,223.61304,51.40937,H,Y,18.67,18.23,17.81,17.49,17.22,,U,,1.05,"A07;P08        ",0.239,17.46,29.627,F,125.26,32.357,R,6.694,26.103,0.538,1.353,bllac,plotkin
145507.44+025040.2,223.781,2.84453,H,N,20.42,19.89,19.4,19.01,18.61,,U,,1.77,"C05;P08        ",0.601,18.54,30.031,F,104.11,33.082,U,4.145,26.87,0.601,1.214,bllac,plotkin
145603.64+504825.9,224.01518,50.8072,H,Y,19.57,19.36,19.07,18.86,18.64,,U,,1.07,"A07;P08        ",0.53,18.62,29.898,F,9.45,31.932,R,226.1,28.469,0.4,0.549,bllac,plotkin
145844.80+372021.5,224.68668,37.33932,H,Y,20.79,20.12,19.58,19.1,18.71,0.333,T,0.148,1.93,"P08            ",,19.52,29.252,F,269.98,32.984,U,1.029,25.632,0.735,1.39,bllac,plotkin
150057.85+484002.3,225.24107,48.66732,H,N,19.24,18.82,18.71,18.72,18.84,0.527,T,-0.011,0.28,,,18.81,29.869,U,0.93,30.92,U,1.146,26.167,0.207,1.421,bllac,plotkin
150106.26+552750.8,225.2761,55.46411,H,N,20.77,20.26,19.9,19.66,19.24,,U,,1.33,"C05;P08        ",0.63,19.22,29.831,F,12.3,32.195,U,0.786,26.2,0.465,1.394,bllac,plotkin
150233.94+335055.6,225.64145,33.8488,H,Y,18.4,17.92,17.5,17.24,17.0,,U,,1.77,"P08            ",0.43,16.98,30.265,F,80.99,32.683,U,1.293,26.0,0.476,1.638,bllac,plotkin
150347.98+475930.9,225.94995,47.99192,H,N,20.42,20.1,19.67,19.36,19.03,,U,,1.35,"P08            ",0.447,18.98,29.547,F,55.28,32.551,U,1.587,26.13,0.592,1.312,bllac,plotkin
150617.64+433413.6,226.57352,43.57046,H,N,20.37,19.92,19.34,18.95,18.67,0.47,T,0.22,1.25,"P08            ",,18.65,29.744,F,31.09,32.346,U,1.672,26.208,0.512,1.358,bllac,plotkin
150644.47+081400.6,226.68532,8.23351,H,Y,17.74,17.43,17.15,16.93,16.75,0.376,T,0.075,1.13,,,17.05,30.338,F,75.46,32.535,R,25.47,27.151,0.433,1.224,bllac,plotkin
150718.80+243122.7,226.82835,24.52298,H,N,19.31,19.01,18.87,18.83,18.7,,U,,0.45,,0.502,18.64,29.88,F,4.12,31.524,U,3.741,26.628,0.324,1.248,bllac,plotkin
150947.97+555617.3,227.4499,55.93814,H,Y,18.51,18.08,17.75,17.49,17.23,,U,,1.06,"C05;A07;P08    ",0.311,17.72,29.875,F,34.37,32.027,R,7.43,26.418,0.424,1.327,bllac,plotkin
151433.75+190319.5,228.64064,19.05543,H,N,19.59,19.05,18.67,18.37,18.13,,U,,1.42,,0.581,18.07,30.197,F,7.1,31.887,R,8.209,27.129,0.333,1.178,bllac,plotkin
151826.68+075222.3,229.6112,7.87288,H,N,19.43,19.12,18.91,18.73,18.56,,U,,0.79,,0.584,18.5,30.061,F,4.93,31.733,R,13.03,27.336,0.329,1.047,bllac,plotkin
152034.98+554257.0,230.14577,55.71585,H,N,19.55,19.02,18.68,18.33,18.06,,U,,1.25,"P08            ",0.352,18.65,29.634,F,48.05,32.281,U,0.867,25.614,0.521,1.544,bllac,plotkin
152200.77+035016.9,230.5032,3.83805,H,N,19.84,19.58,19.22,19.17,18.95,0.838,T,0.013,0.93,,,18.89,30.284,U,0.99,31.34,U,6.158,27.413,0.208,1.102,bllac,plotkin
152422.56+374034.1,231.09402,37.67615,H,N,20.01,19.8,19.28,19.08,18.95,1.219,T,,1.5,"P08            ",,19.24,30.837,F,1.82,31.908,U,1.905,27.331,0.211,1.346,bllac,plotkin
152507.68+215343.0,231.28203,21.8953,H,N,20.09,19.63,19.3,19.09,18.78,,U,,1.24,,0.663,18.71,30.096,F,5.68,31.903,U,6.836,27.196,0.356,1.114,bllac,plotkin
152913.56+381217.5,232.30653,38.20488,H,Y,18.85,18.56,18.35,18.17,18.01,,U,,0.75,"A07;P08        ",0.381,18.31,29.832,F,11.08,31.714,R,11.01,26.801,0.37,1.164,bllac,plotkin
153058.18+573625.2,232.74243,57.60701,H,N,20.01,19.71,19.4,19.18,18.94,,U,,1.02,"C05;P08        ",0.584,18.91,29.886,F,38.38,32.624,U,0.733,26.086,0.539,1.459,bllac,plotkin
153139.78+470705.9,232.91579,47.11833,H,N,19.88,19.54,19.27,19.07,18.87,,U,,1.05,"P08            ",0.529,18.85,29.805,F,3.53,31.503,U,1.102,26.155,0.334,1.402,bllac,plotkin
153149.47+465913.7,232.95615,46.98716,H,Y,20.37,19.74,18.94,18.54,18.2,0.316,R,0.331,1.32,"A07;P08        ",,18.9,29.426,F,21.32,31.835,R,5.738,26.323,0.474,1.191,bllac,plotkin
153311.25+185429.1,233.29688,18.90809,H,Y,19.08,18.7,18.28,17.98,17.71,0.307,R,0.173,0.6,,,18.15,29.679,F,21.39,31.81,R,145.7,27.697,0.42,0.761,bllac,plotkin
153324.26+341640.3,233.35112,34.27788,H,Y,18.39,18.12,17.91,17.69,17.52,,U,,0.83,"A07;P08        ",0.324,17.86,29.854,F,27.27,31.963,R,50.09,27.289,0.415,0.985,bllac,plotkin
153447.21+371554.5,233.69672,37.26515,H,Y,18.38,17.84,17.34,17.04,16.82,0.143,R,0.176,1.24,"A07;P08        ",,17.0,29.286,F,22.14,31.15,R,3.885,25.36,0.367,1.508,bllac,plotkin
153500.80+532037.2,233.75336,53.34367,H,Y,19.15,18.87,18.65,18.42,18.29,,U,,0.91,"C05;A07;P08    ",0.429,18.26,29.833,F,14.06,31.921,R,183.5,28.149,0.411,0.647,bllac,plotkin
153925.68+421728.1,234.85701,42.29114,H,N,18.84,18.43,18.08,17.83,17.58,,U,,1.03,"P08            ",0.429,17.53,30.115,F,65.97,32.592,U,2.453,26.275,0.488,1.474,bllac,plotkin
154604.25+081913.4,236.51775,8.32041,H,N,17.92,17.62,17.35,17.17,16.98,0.512,L,0.062,0.48,,,16.91,30.589,F,7.11,31.778,R,20.44,27.387,0.234,1.229,bllac,plotkin
154623.71+181715.3,236.59883,18.28759,H,N,19.78,19.22,18.79,18.5,18.16,1.005,L,0.118,1.57,,,18.7,30.839,F,61.23,33.281,U,2.597,27.245,0.481,1.38,bllac,plotkin
154633.15+060345.5,236.63812,6.06265,H,N,19.75,19.46,19.23,19.1,19.03,0.853,L,0.03,0.79,,,18.93,30.282,U,1.0,31.36,U,2.98,27.118,0.212,1.215,bllac,plotkin
154850.76+001852.3,237.21152,0.31454,H,N,19.31,19.06,19.07,19.16,19.23,0.89,T,-0.039,-0.12,,,18.86,30.315,U,1.01,31.399,U,4.05,27.3,0.213,1.158,bllac,plotkin
155203.26+085047.3,238.0136,8.84648,H,N,18.93,18.42,17.95,17.61,17.32,1.015,L,0.075,1.32,"P08            ",,17.81,31.152,F,103.9,33.518,U,2.643,27.264,0.466,1.493,bllac,plotkin
155331.07+060143.8,238.37947,6.02884,H,N,20.99,20.39,19.92,19.4,19.0,0.619,T,0.182,2.4,,,18.93,29.884,F,13.12,32.208,U,2.902,26.748,0.458,1.204,bllac,plotkin
155412.07+241426.6,238.55032,24.24073,H,Y,20.62,20.17,19.41,19.02,18.74,0.301,R,0.246,1.33,,,19.27,29.225,F,8.49,31.39,R,23.42,26.882,0.426,0.9,bllac,plotkin
155424.12+201125.4,238.60054,20.1904,H,Y,19.22,18.62,17.94,17.55,17.19,0.222,R,0.273,1.04,,,17.45,29.556,F,60.86,31.979,R,69.18,27.045,0.477,0.964,bllac,plotkin
155500.58+214159.8,238.75243,21.69995,H,N,18.87,18.34,17.88,17.55,17.23,0.864,T,0.165,1.63,,,17.14,31.03,F,171.47,33.605,U,2.704,27.091,0.507,1.512,bllac,plotkin
155848.37+022818.6,239.70157,2.47184,H,N,20.23,19.83,19.49,19.17,18.83,,U,,1.68,"C05;P08        ",0.64,18.68,30.053,F,17.99,32.373,U,3.934,26.917,0.457,1.204,bllac,plotkin
155952.20+231656.7,239.96751,23.28244,H,N,18.45,17.94,17.47,17.1,16.77,,U,,1.81,"P08            ",0.443,16.68,30.414,F,47.38,32.477,U,2.627,26.34,0.406,1.564,bllac,plotkin
160118.96+063136.0,240.329,6.52667,H,N,20.28,19.66,18.9,18.46,18.07,0.358,R,0.283,1.06,,,18.76,29.604,F,39.47,32.211,U,2.905,26.157,0.513,1.323,bllac,plotkin
160218.06+305109.4,240.57529,30.85262,H,Y,18.62,18.23,17.98,17.82,17.63,,U,,1.08,"A07;P08        ",0.356,17.91,29.938,F,59.92,32.387,R,14.13,26.838,0.482,1.19,bllac,plotkin
160339.50+500955.4,240.91463,50.16541,H,N,20.09,19.72,19.37,19.01,18.72,,U,,1.27,"C05;P08        ",0.506,18.69,29.806,F,29.82,32.391,U,1.969,26.358,0.509,1.324,bllac,plotkin
160436.65+173325.0,241.15271,17.55696,H,N,20.03,19.62,19.24,18.98,18.71,1.007,L,0.067,1.12,"P08            ",,19.11,30.581,F,9.26,32.462,U,2.354,27.204,0.37,1.297,bllac,plotkin
160519.04+542059.9,241.32938,54.34998,H,Y,19.78,19.36,18.83,18.46,18.23,0.212,R,0.268,0.78,"C05;A07;P08    ",,18.44,29.136,F,5.54,30.895,R,59.19,26.928,0.346,0.848,bllac,plotkin
160740.59+254115.7,241.91914,25.6877,H,N,20.4,20.02,19.53,19.33,18.88,0.532,T,0.168,1.17,"A07;P08        ",,18.79,29.826,F,31.71,32.462,R,60.45,27.901,0.519,0.739,bllac,plotkin
160909.77+342154.1,242.29073,34.36503,H,N,19.65,19.33,19.01,18.77,18.48,0.578,T,0.116,1.05,"P08            ",,18.45,30.058,F,7.71,31.918,U,1.373,26.347,0.366,1.425,bllac,plotkin
161409.43+203602.0,243.5393,20.60058,H,N,20.76,20.37,20.0,19.63,19.39,,U,,1.32,,0.656,19.28,29.852,F,8.2,32.053,U,2.588,26.762,0.433,1.186,bllac,plotkin
161415.20+004722.0,243.56337,0.78946,H,N,20.3,19.73,19.34,19.19,18.92,1.568,L,,1.03,,,19.07,31.064,N,13.743,32.978,U,4.151,27.958,0.377,1.193,bllac,plotkin
161633.78+333043.4,244.14078,33.51206,H,N,20.07,19.53,19.14,18.84,18.63,,U,,2.02,"P08            ",0.672,18.59,30.136,F,21.29,32.488,U,1.159,26.44,0.463,1.419,bllac,plotkin
161706.32+410647.0,244.27637,41.11307,H,Y,19.07,18.51,17.93,17.59,17.26,0.267,R,0.203,1.69,"A07;P08        ",,17.91,29.652,F,63.88,32.161,R,21.05,26.712,0.494,1.129,bllac,plotkin
161823.58+363201.7,244.59827,36.53381,H,N,20.42,19.98,19.42,18.96,18.56,0.734,T,0.201,1.96,"P08            ",,18.54,30.269,F,536.06,33.963,U,0.907,26.432,0.727,1.473,bllac,plotkin
161830.59+062211.5,244.6275,6.36987,H,N,19.55,19.06,18.62,18.29,18.06,,U,,1.33,"A07;P08        ",0.451,17.97,29.961,F,28.44,32.27,R,8.095,26.848,0.455,1.196,bllac,plotkin
162115.21-003140.3,245.31339,-0.52789,H,N,19.72,19.39,18.99,18.69,18.35,,U,,1.74,"C05;A07        ",0.526,18.93,30.206,N,12.697,32.054,R,28.68,27.564,0.364,1.015,bllac,plotkin
162258.85+064919.3,245.74525,6.82205,H,N,23.89,20.82,20.0,19.72,19.39,,U,,2.83,,0.7,19.29,29.889,U,0.995,31.192,U,3.871,27.01,0.257,1.106,bllac,plotkin
162259.26+440142.9,245.74693,44.02859,H,N,19.74,19.27,18.85,18.55,18.27,,U,,1.22,"C05;A07;P08    ",0.51,18.26,29.99,F,8.05,31.829,R,9.213,27.037,0.362,1.134,bllac,plotkin
162332.26+284128.7,245.88445,28.69131,H,N,19.67,19.36,19.13,18.9,18.76,,U,,0.52,"A07;P08        ",0.454,18.71,29.748,F,2.52,31.224,R,4.951,26.641,0.291,1.193,bllac,plotkin
162451.69+232515.8,246.21538,23.42106,H,N,21.29,20.72,20.06,19.68,19.34,0.441,R,0.288,0.79,"P08            ",,19.21,29.495,F,0.9,30.752,U,2.744,26.354,0.248,1.206,bllac,plotkin
162625.85+351341.4,246.60771,35.22819,H,Y,18.98,18.7,18.39,18.13,17.96,0.497,T,0.15,0.88,"A07;P08        ",,17.93,30.122,F,20.05,32.204,R,13.68,27.181,0.41,1.129,bllac,plotkin
162650.39+342229.4,246.70998,34.37485,H,N,21.69,20.23,19.63,19.34,18.93,,U,,1.97,,0.622,18.9,29.919,F,0.74,30.963,U,1.082,26.325,0.206,1.38,bllac,plotkin
162712.98+314956.1,246.80411,31.83225,H,N,20.9,20.47,20.03,19.64,19.3,,U,,1.71,"P08            ",0.624,19.27,29.785,F,4.02,31.701,U,1.464,26.46,0.377,1.277,bllac,plotkin
162839.03+252755.9,247.16263,25.46553,H,Y,19.85,19.15,18.2,17.76,17.45,0.22,R,0.307,1.01,"A07;P08        ",,17.67,29.463,F,51.53,31.898,R,28.16,26.644,0.479,1.082,bllac,plotkin
