bname,ra,dec,classification,InNED,umag,gmag,rmag,imag,zmag,z,f_Zspec,C,Sp-Index,Comments,Zhg,FAGN,logOL,RFlag,Rflux,logRL,XFlag,Xflux,logXL,Ind-RO,Ind-OX,btype,catalog
123123.90+142124.4,187.84962,14.3568,H,Y,18.28,17.85,17.45,17.16,16.9,0.256,R,0.176,1.21,"P08            ",,17.09,29.829,F,48.23,32.002,U,13.6,26.48,0.428,1.286,bllac,plotkin
123131.39+641418.2,187.88081,64.23841,H,Y,18.68,17.91,17.36,17.03,16.7,0.163,R,0.244,-0.11,"C05;A07        ",,16.99,29.568,N,57.976,31.684,R,44.1,26.542,0.417,1.162,bllac,plotkin
123132.37+013813.9,187.8849,1.63722,H,Y,22.5,19.2,18.74,18.53,18.45,3.229,R,,0.66,C05;P08;S09;D09,,18.7,31.789,F,8.57,33.268,U,1.881,28.439,0.291,1.287,bllac,plotkin
123143.57+284749.7,187.93156,28.79716,H,Y,18.0,17.62,17.28,17.03,16.87,,U,,1.07,,0.139,16.99,29.286,F,97.85,31.772,R,20.57,26.058,0.489,1.24,bllac,plotkin
123305.15+170133.3,188.27145,17.02593,H,N,18.3,17.97,17.7,17.48,17.31,,U,,0.89,,0.339,17.62,29.995,F,32.63,32.08,U,19.72,26.932,0.411,1.176,bllac,plotkin
123341.33-014423.7,188.42223,-1.73993,H,N,19.09,18.62,18.31,18.07,17.89,,U,,1.25,"C05;P08        ",0.387,18.22,29.909,F,31.29,32.178,U,6.938,26.617,0.447,1.264,bllac,plotkin
123438.95+391046.8,188.6623,39.17967,H,N,20.94,20.31,19.73,19.19,18.85,0.584,R,0.204,1.6,"P08            ",,18.83,29.889,F,85.27,32.971,U,1.57,26.417,0.607,1.333,bllac,plotkin
123528.85+170036.6,188.87025,17.01018,H,N,20.85,20.24,19.51,19.08,18.66,0.381,R,0.289,0.95,,,19.43,29.392,F,125.13,32.766,U,19.14,27.04,0.664,0.903,bllac,plotkin
123623.01+390000.9,189.0959,39.00028,H,Y,19.3,18.91,18.42,18.14,17.85,0.39,R,0.197,1.12,"A07;P08        ",,18.38,29.843,F,36.54,32.252,R,5.329,26.51,0.474,1.28,bllac,plotkin
123705.61+302004.9,189.2734,30.33471,H,Y,20.17,20.09,19.87,19.54,19.2,,U,,0.82,,0.594,19.18,29.808,F,3.71,31.624,R,67.57,28.069,0.358,0.668,bllac,plotkin
123739.08+625842.8,189.41286,62.97857,H,Y,18.83,18.48,18.04,17.73,17.56,0.297,R,0.183,0.88,"C05;A07;P08    ",,18.01,29.708,F,12.2,31.537,R,36.68,27.064,0.36,1.015,bllac,plotkin
