Object Name,RA(deg),DEC(deg),Redshift
WISE J115404.56-001009.6,178.51898,-0.1694,0.253431
SDSS J115518.26+092641.2,178.82612,9.44478,0.666737
SDSS J115548.40+613553.8,178.95169,61.5983,1.525
SDSS J115637.02+184856.5,179.15428,18.81572,1.956
FBQS J1157+2822,179.28976,28.36689,0.300168
SDSS J115851.19+330847.5,179.71333,33.14655,0.309952
SDSS J115854.37+093711.7,179.72657,9.61993,0.389667
SDSS J115959.71+410152.9,179.9988,41.03137,2.746686
SDSS J120059.68+400913.1,180.24871,40.15365,3.366655
2MASX J12010620-0007020,180.27578,-0.11712,0.165146
B3 1159+450,180.53608,44.73958,0.296843
2MASS J12025706+3851476,180.73792,38.86332,0.805
SBS 1200+608,180.76461,60.52199,0.0656
SDSS J120331.67+543009.0,180.88196,54.5025,0.477645
SDSS J120355.33+581945.5,180.98057,58.32931,0.405
2MASS J12041209+1145554,181.05049,11.76539,0.296221
SDSS J120435.37+231607.2,181.14739,23.26868,
SDSS J120543.30+582933.7,181.43044,58.4927,1.083
SDSS J120658.02+052952.2,181.74178,5.49785,0.7911
SDSS J120709.97+171549.3,181.79156,17.2637,2.055
SDSS J120804.32+301550.4,182.01799,30.26401,2.085
2MASX J12083705+6121069,182.15471,61.35178,0.274783
2MASS J12083727+1159377,182.15533,11.99387,0.369
FBQS J120922.7+411941,182.34495,41.32816,0.377
SDSS J120938.32+021017.1,182.4097,2.17144,2.085
SDSS J121002.66+324058.9,182.51111,32.68304,2.145
[HB89] 1207+397,182.61084,39.48562,0.616935
SDSS J121037.35+525341.9,182.65564,52.89498,0.9175
SDSS J121051.65+313659.9,182.71523,31.61664,
SDSS J121103.28-002005.2,182.76369,-0.33479,0.319065
SDSS J121221.56+534127.8,183.08983,53.6911,3.097615
2MASS J12130079+5129358,183.25333,51.49323,0.7957
SDSS J121348.80+642520.1,183.45339,64.42228,0.4157
WISE J121500.80+500215.5,183.75327,50.03768,1.545
SDSS J121508.85+350813.4,183.78702,35.13699,0.8834
2MASS J12151799+5459135,183.82516,54.98702,0.337825
SDSS J121649.97+054136.7,184.20827,5.69353,0.415
PKS 1215-002,184.4947,-0.49619,0.418406
SDSS J121929.45+471522.8,184.87273,47.25634,1.336
2MASS J12194495+0446225,184.93742,4.77291,0.489151
FBQS J122008.3+343121,185.03456,34.52271,0.643
SDSS J122012.14-000306.7,185.05061,-0.05191,1.0
FBQS J1221+3010,185.34142,30.17697,0.183648
W Com,185.38204,28.23292,0.102
SDSS J122211.42+354058.3,185.54759,35.68288,2.145
2MASS J12230027+5153137,185.75125,51.8872,0.365025
LBQS 1221+1745,185.89541,17.47866,1.354
2MASX J12235302+4650485,185.97104,46.84691,0.260544
B3 1222+438,186.21461,43.58869,1.07491
SDSS J122801.59+330035.5,187.00664,33.00988,
SDSS J122809.13-022136.1,187.03806,-2.36005,0.322842
2MASX J12312389+1421244,187.84958,14.35681,0.255767
[HB89] 1229+645,187.88078,64.23843,0.16294
SDSS J123132.37+013813.9,187.8849,1.63722,3.229234
FBQS J123143.5+284749,187.93158,28.79717,0.236
LBQS 1230+1718,188.27146,17.02593,2.045
WISE J123341.34-014423.6,188.42221,-1.73993,2.145
2MASS J12343896+3910470,188.66233,39.17971,0.584324
SDSS J123528.85+170036.6,188.87025,17.01018,0.381
SDSS J123618.89+032455.9,189.07874,3.41554,0.046601
FBQS J123623.0+390001,189.09594,39.0003,0.389479
SDSS J123705.61+302004.9,189.2734,30.33471,0.7
[HB89] 1235+632,189.41282,62.97857,0.296903
SDSS J1237+6301,189.42951,63.02914,3.425
SDSS J123826.01+443137.1,189.60841,44.52698,0.312076
2MASX J12383128+5406524,189.63018,54.11442,0.22368
SDSS J123931.16+405446.4,189.87985,40.91289,1.34821
SDSS J124030.93+344527.5,190.12889,34.75764,1.642396
SDSS J124109.43+340038.1,190.28931,34.0106,2.065
SDSS J124141.38+344031.0,190.4225,34.6753,2.055
SDSS J124203.13+085048.1,190.51308,8.8467,1.609
2MASX J12422548+6429188,190.60579,64.48861,0.042476
FBQS J124312.6+362743,190.80307,36.46222,1.0654
SDSS J124406.73+494936.0,191.02808,49.82668,2.222983
2MASS J12442530+0445001,191.10539,4.74991,0.400297
SDSS J124444.35+161621.7,191.18483,16.27272,0.456
WISE J124510.03+570954.3,191.29166,57.1651,1.54487
SDSS J124533.79+022825.1,191.39084,2.47367,1.096
SDSS J124602.52+011318.7,191.51055,1.22189,0.386823
SDSS J124700.72+442318.7,191.75303,44.38855,1.81157
SDSS J124745.39+325147.0,191.93914,32.86308,2.2494
SDSS J124805.38+141140.3,192.02245,14.19455,
SBS 1246+586,192.07827,58.34131,0.847394
2MASX J12483429+5128077,192.14296,51.46886,0.350853
SDSS J124946.74+370747.7,192.44479,37.12994,1.445
SDSS J125015.53+315559.5,192.56472,31.93322,0.00402
PKS 1247+025,192.63575,2.2756,
WISE J125117.89+103907.1,192.82452,10.65202,0.245
FBQS J125219.4+264053,193.08117,26.68166,1.288311
SDSS J125234.58+084944.0,193.14411,8.82891,0.424
SDSS J125234.66+293732.6,193.14446,29.62574,0.528673
2MASS J12530097+3826259,193.25398,38.44049,0.370856
SDSS J125307.45+220359.1,193.28107,22.06644,
WISE J125311.91+530111.8,193.29967,53.01993,0.445
WISE J125359.34+624257.6,193.49708,62.716,0.867
SDSS J125433.27+221103.7,193.63866,22.18437,2.065
SDSS J125555.40+384811.3,193.98093,38.8032,0.559
SDSS J125639.35+060908.0,194.16397,6.15224,0.422955
FBQS J125716.5+364715,194.31907,36.78754,0.530688
2MASS J12582083+6120453,194.58664,61.34597,0.223631
SDSS J125905.02+222716.5,194.77094,22.4546,
SDSS J130008.52+175538.0,195.03552,17.92722,1.545
SDSS J130032.78+535112.4,195.13659,53.85345,1.07853
FBQS J130145.6+405624,195.44029,40.94022,0.649
2MASS J13014635+4416192,195.44298,44.27201,0.435
SDSS J130255.35+505618.2,195.73065,50.93842,0.688
SDSS J130312.89+321911.4,195.80373,32.31985,0.63817
2MASS J13053124+3855218,196.38023,38.92277,0.376133
B3 1307+433,197.35636,43.08488,0.69
[HB89] 1307+121,197.39139,11.90682,0.415
SDSS J130941.35+112540.1,197.42234,11.42783,1.362354
SDSS J131059.77+560140.2,197.7491,56.02782,1.284974
LBQS 1308+0051,197.77697,0.58612,0.002307
SDSS J131146.02+395317.5,197.94189,39.88817,0.255
LBQS 1310+0216,198.37552,2.0183,0.355693
FBQS J131443.8+234826,198.68253,23.80744,2.145
2MASS J13193174+1405327,199.88225,14.09254,0.572984
SDSS J131935.27+272502.2,199.89696,27.41729,0.435
SDSS J132130.21+481719.1,200.37588,48.28867,1.41334
SDSS J132138.85+010846.3,200.41192,1.1462,1.422498
SDSS J132231.46+134429.8,200.63112,13.74164,0.376698
SDSS J132239.31+494336.2,200.6638,49.72673,0.332479
SDSS J132247.40+321608.5,200.69751,32.26903,2.065
2MASX J13230099+0439514,200.75417,4.66427,0.224373
SDSS J132358.36+140559.4,200.99318,14.09984,0.773
