id , Source name , aro-aox-arx
139 , "5BZQJ0051-0650 " , 1.096
140 , "5BZQJ0051-4226 " , 1.115
141 , "5BZBJ0051-6242 " , 1.258
142 , "5BZQJ0052+4402 " , -9.9
143 , "5BZQJ0052-2825 " , 1.173
144 , "5BZBJ0054-2455 " , 1.304
145 , "5BZGJ0056-0936 " , 1.441
146 , "5BZBJ0056-2117 " , 1.565
147 , "5BZBJ0056+1625 " , -9.9
148 , "5BZQJ0057-0024 " , -9.9
149 , "5BZBJ0057-2212 " , 1.077
150 , "5BZBJ0058-3234 " , 1.449
151 , "5BZQJ0058-0539 " , -9.9
152 , "5BZBJ0058+1723 " , 0.767
153 , "5BZUJ0058+3311 " , -9.9
154 , "5BZQJ0058+0620 " , 0.894
155 , "5BZUJ0058-5659 " , 1.283
156 , "5BZBJ0058-5219 " , -9.9
157 , "5BZQJ0059+0006 " , 1.337
158 , "5BZGJ0059-0150 " , 1.386
159 , "5BZQJ0100-3337 " , 1.347
160 , "5BZUJ0100+0745 " , -9.9
161 , "5BZQJ0100+3345 " , -9.9
162 , "5BZBJ0100-0055 " , -9.9
163 , "5BZQJ0102-8012 " , 1.163
164 , "5BZQJ0102-7546 " , 1.371
165 , "5BZQJ0102+4214 " , -9.9
166 , "5BZUJ0102+5824 " , 1.424
167 , "5BZQJ0102-2646 " , 1.288
168 , "5BZGJ0103+1526 " , -9.9
169 , "5BZGJ0103+4322 " , -9.9
170 , "5BZUJ0103-6439 " , 1.604
171 , "5BZQJ0104-2416 " , -9.9
172 , "5BZBJ0105+3928 " , -9.9
173 , "5BZUJ0106+3402 " , -9.9
174 , "5BZGJ0106+2539 " , -9.9
175 , "5BZQJ0106-0155 " , -9.9
176 , "5BZQJ0106-2718 " , -9.9
177 , "5BZQJ0106-1034 " , 1.169
178 , "5BZQJ0106-4034 " , 1.106
179 , "5BZQJ0107+2611 " , -9.9
180 , "5BZQJ0108-0037 " , -9.9
181 , "5BZQJ0108+0135 " , 1.325
182 , "5BZBJ0109+1816 " , 1.165
183 , "5BZQJ0109+6133 " , 1.617
184 , "5BZGJ0110+4149 " , 1.606
185 , "5BZBJ0110-0047 " , -9.9
186 , "5BZUJ0110+6805 " , 2.111
187 , "5BZBJ0110-0415 " , 1.312
188 , "5BZQJ0110-1648 " , 1.359
189 , "5BZBJ0110-1255 " , 1.03
190 , "5BZQJ0110-0741 " , -9.9
191 , "5BZBJ0111+0536 " , 0.99
192 , "5BZUJ0111+3906 " , 1.208
193 , "5BZQJ0111-1317 " , -9.9
194 , "5BZBJ0112+2244 " , 1.626
195 , "5BZQJ0112+2020 " , 1.399
196 , "5BZQJ0112+3522 " , 1.205
197 , "5BZQJ0112+3818 " , 1.475
198 , "5BZQJ0112-6634 " , -9.9
199 , "5BZBJ0112-3201 " , 0.758
200 , "5BZQJ0112+3208 " , 1.164
201 , "5BZQJ0113-3551 " , -9.9
202 , "5BZQJ0113+4948 " , 1.335
203 , "5BZGJ0113+0222 " , 1.868
204 , "5BZQJ0113+1324 " , 1.216
205 , "5BZBJ0114+1325 " , 1.453
206 , "5BZBJ0115-3400 " , 0.915
207 , "5BZQJ0115-0127 " , 1.246
208 , "5BZQJ0115-2804 " , -9.9
209 , "5BZBJ0115+0356 " , 1.535
210 , "5BZBJ0115+2519 " , 1.249
211 , "5BZQJ0115-3049 " , -9.9
212 , "5BZQJ0116-1136 " , 1.199
213 , "5BZBJ0116-6153 " , -9.9
214 , "5BZQJ0117+1418 " , -9.9
215 , "5BZQJ0117-3357 " , 1.301
216 , "5BZBJ0117-2443 " , 1.223
217 , "5BZQJ0117-2111 " , -9.9
218 , "5BZQJ0118-2141 " , 1.498
219 , "5BZBJ0120-2701 " , 1.68
220 , "5BZQJ0121-2806 " , 1.161
221 , "5BZQJ0121+1127 " , -9.9
222 , "5BZQJ0121+1149 " , 1.035
223 , "5BZQJ0121+0422 " , 0.977
224 , "5BZQJ0122+0310 " , 0.897
225 , "5BZBJ0122+1510 " , -9.9
226 , "5BZQJ0122+2502 " , -9.9
227 , "5BZQJ0122-0935 " , 1.206
228 , "5BZBJ0123+3420 " , 0.588
229 , "5BZBJ0123-2310 " , 1.002
230 , "5BZGJ0123+4210 " , 1.231
231 , "5BZQJ0123+2615 " , 1.217
232 , "5BZBJ0124+3249 " , 1.038
233 , "5BZBJ0124+0918 " , 1.147
234 , "5BZBJ0124-0625 " , -9.9
235 , "5BZQJ0124+2805 " , -9.9
236 , "5BZQJ0124-5113 " , -9.9
237 , "5BZQJ0125+0146 " , 1.219
238 , "5BZBJ0125-2549 " , -9.9
239 , "5BZQJ0125-0005 " , 1.359
240 , "5BZQJ0126-2222 " , 1.365
241 , "5BZQJ0126+2559 " , 1.166
242 , "5BZBJ0126+3307 " , 0.84
243 , "5BZBJ0127-8108 " , 1.165
244 , "5BZBJ0127-0151 " , 1.301
245 , "5BZBJ0127-0821 " , 1.316
246 , "5BZBJ0127-0013 " , 1.119
247 , "5BZGJ0128+4901 " , 1.614
248 , "5BZUJ0128+4439 " , -9.9
249 , "5BZQJ0130-1019 " , 1.435
250 , "5BZQJ0130+0842 " , -9.9
251 , "5BZBJ0131+6120 " , 1.477
252 , "5BZQJ0131+3834 " , -9.9
253 , "5BZQJ0132-1654 " , 1.238
254 , "5BZUJ0133-5200 " , 1.298
255 , "5BZBJ0133-4414 " , -9.9
256 , "5BZBJ0134+2638 " , 1.445
257 , "5BZQJ0134-3843 " , 1.21
258 , "5BZQJ0135-2008 " , -9.9
259 , "5BZQJ0136-4044 " , -9.9
260 , "5BZBJ0136+3905 " , 1.278
261 , "5BZQJ0136+4751 " , 1.176
262 , "5BZQJ0137+3122 " , -9.9
263 , "5BZQJ0137-2430 " , 1.402
264 , "5BZBJ0137+5814 " , 1.351
265 , "5BZQJ0138-2711 " , -9.9
266 , "5BZBJ0138-1754 " , 1.05
267 , "5BZQJ0138-0540 " , -9.9
268 , "5BZQJ0138-2254 " , -9.9
269 , "5BZQJ0140-1532 " , 1.35
270 , "5BZBJ0140-0758 " , 0.813
271 , "5BZBJ0141-0928 " , 1.505
272 , "5BZQJ0141-0202 " , -9.9
273 , "5BZUJ0141+3923 " , 2.219
274 , "5BZBJ0142-0544 " , -9.9
275 , "5BZQJ0143+4129 " , -9.9
276 , "5BZUJ0143-3200 " , 1.215
277 , "5BZQJ0143-6813 " , 1.376
278 , "5BZBJ0143-5845 " , 1.05
279 , "5BZBJ0144+2705 " , 1.097
280 , "5BZQJ0145-2733 " , 1.302
281 , "5BZGJ0146-0551 " , -9.9
282 , "5BZQJ0146-2727 " , -9.9
283 , "5BZGJ0146-5202 " , 2.361
284 , "5BZQJ0148+3854 " , -9.9
285 , "5BZGJ0148+1402 " , 1.552
286 , "5BZBJ0148+0129 " , -9.9
287 , "5BZQJ0148+4215 " , 1.178
288 , "5BZQJ0149+0555 " , 0.891
289 , "5BZQJ0149+1857 " , -9.9
290 , "5BZQJ0151-3435 " , 0.882
291 , "5BZQJ0151+2744 " , -9.9
292 , "5BZQJ0152+2207 " , 1.161
293 , "5BZQJ0152-1412 " , 1.041
294 , "5BZQJ0152-2942 " , -9.9
295 , "5BZGJ0152+0147 " , 1.512
296 , "5BZBJ0153+7517 " , 1.288
297 , "5BZQJ0153-3310 " , 1.401
