id , Source name , aro-aox-arx
139 , "5BZQJ0051-0650 " , 0.956
140 , "5BZQJ0051-4226 " , 0.971
141 , "5BZBJ0051-6242 " , 0.641
142 , "5BZQJ0052+4402 " , -9.9
143 , "5BZQJ0052-2825 " , 0.873
144 , "5BZBJ0054-2455 " , 0.634
145 , "5BZGJ0056-0936 " , 0.702
146 , "5BZBJ0056-2117 " , 0.819
147 , "5BZBJ0056+1625 " , -9.9
148 , "5BZQJ0057-0024 " , -9.9
149 , "5BZBJ0057-2212 " , 0.901
150 , "5BZBJ0058-3234 " , 0.943
151 , "5BZQJ0058-0539 " , -9.9
152 , "5BZBJ0058+1723 " , 0.536
153 , "5BZUJ0058+3311 " , -9.9
154 , "5BZQJ0058+0620 " , 0.873
155 , "5BZUJ0058-5659 " , 0.857
156 , "5BZBJ0058-5219 " , -9.9
157 , "5BZQJ0059+0006 " , 0.952
158 , "5BZGJ0059-0150 " , 0.651
159 , "5BZQJ0100-3337 " , 0.926
160 , "5BZUJ0100+0745 " , -9.9
161 , "5BZQJ0100+3345 " , -9.9
162 , "5BZBJ0100-0055 " , -9.9
163 , "5BZQJ0102-8012 " , 0.934
164 , "5BZQJ0102-7546 " , 0.897
165 , "5BZQJ0102+4214 " , -9.9
166 , "5BZUJ0102+5824 " , 0.967
167 , "5BZQJ0102-2646 " , 0.84
168 , "5BZGJ0103+1526 " , -9.9
169 , "5BZGJ0103+4322 " , -9.9
170 , "5BZUJ0103-6439 " , 0.803
171 , "5BZQJ0104-2416 " , -9.9
172 , "5BZBJ0105+3928 " , -9.9
173 , "5BZUJ0106+3402 " , -9.9
174 , "5BZGJ0106+2539 " , -9.9
175 , "5BZQJ0106-0155 " , -9.9
176 , "5BZQJ0106-2718 " , -9.9
177 , "5BZQJ0106-1034 " , 0.807
178 , "5BZQJ0106-4034 " , 0.981
179 , "5BZQJ0107+2611 " , -9.9
180 , "5BZQJ0108-0037 " , -9.9
181 , "5BZQJ0108+0135 " , 1.059
182 , "5BZBJ0109+1816 " , 0.656
183 , "5BZQJ0109+6133 " , 0.905
184 , "5BZGJ0110+4149 " , 0.701
185 , "5BZBJ0110-0047 " , -9.9
186 , "5BZUJ0110+6805 " , 0.96
187 , "5BZBJ0110-0415 " , 0.843
188 , "5BZQJ0110-1648 " , 0.708
189 , "5BZBJ0110-1255 " , 0.532
190 , "5BZQJ0110-0741 " , -9.9
191 , "5BZBJ0111+0536 " , 0.604
192 , "5BZUJ0111+3906 " , 1.107
193 , "5BZQJ0111-1317 " , -9.9
194 , "5BZBJ0112+2244 " , 0.788
195 , "5BZQJ0112+2020 " , 0.866
196 , "5BZQJ0112+3522 " , 0.861
197 , "5BZQJ0112+3818 " , 0.754
198 , "5BZQJ0112-6634 " , -9.9
199 , "5BZBJ0112-3201 " , 0.576
200 , "5BZQJ0112+3208 " , 0.759
201 , "5BZQJ0113-3551 " , -9.9
202 , "5BZQJ0113+4948 " , 0.888
203 , "5BZGJ0113+0222 " , 0.898
204 , "5BZQJ0113+1324 " , 0.851
205 , "5BZBJ0114+1325 " , 0.773
206 , "5BZBJ0115-3400 " , 0.583
207 , "5BZQJ0115-0127 " , 0.949
208 , "5BZQJ0115-2804 " , -9.9
209 , "5BZBJ0115+0356 " , 0.784
210 , "5BZBJ0115+2519 " , 0.657
211 , "5BZQJ0115-3049 " , -9.9
212 , "5BZQJ0116-1136 " , 0.921
213 , "5BZBJ0116-6153 " , -9.9
214 , "5BZQJ0117+1418 " , -9.9
215 , "5BZQJ0117-3357 " , 0.958
216 , "5BZBJ0117-2443 " , 0.58
217 , "5BZQJ0117-2111 " , -9.9
218 , "5BZQJ0118-2141 " , 0.97
219 , "5BZBJ0120-2701 " , 0.911
220 , "5BZQJ0121-2806 " , 0.977
221 , "5BZQJ0121+1127 " , -9.9
222 , "5BZQJ0121+1149 " , 0.922
223 , "5BZQJ0121+0422 " , 0.953
224 , "5BZQJ0122+0310 " , 0.832
225 , "5BZBJ0122+1510 " , -9.9
226 , "5BZQJ0122+2502 " , -9.9
227 , "5BZQJ0122-0935 " , 0.818
228 , "5BZBJ0123+3420 " , 0.522
229 , "5BZBJ0123-2310 " , 0.577
230 , "5BZGJ0123+4210 " , 0.62
231 , "5BZQJ0123+2615 " , 0.881
232 , "5BZBJ0124+3249 " , 0.638
233 , "5BZBJ0124+0918 " , 0.616
234 , "5BZBJ0124-0625 " , -9.9
235 , "5BZQJ0124+2805 " , -9.9
236 , "5BZQJ0124-5113 " , -9.9
237 , "5BZQJ0125+0146 " , 0.878
238 , "5BZBJ0125-2549 " , -9.9
239 , "5BZQJ0125-0005 " , 0.909
240 , "5BZQJ0126-2222 " , 0.923
241 , "5BZQJ0126+2559 " , 0.928
242 , "5BZBJ0126+3307 " , 0.56
243 , "5BZBJ0127-8108 " , 0.722
244 , "5BZBJ0127-0151 " , 0.716
245 , "5BZBJ0127-0821 " , 0.905
246 , "5BZBJ0127-0013 " , 0.709
247 , "5BZGJ0128+4901 " , 0.812
248 , "5BZUJ0128+4439 " , -9.9
249 , "5BZQJ0130-1019 " , 0.83
250 , "5BZQJ0130+0842 " , -9.9
251 , "5BZBJ0131+6120 " , 0.602
252 , "5BZQJ0131+3834 " , -9.9
253 , "5BZQJ0132-1654 " , 0.95
254 , "5BZUJ0133-5200 " , 0.877
255 , "5BZBJ0133-4414 " , -9.9
256 , "5BZBJ0134+2638 " , 0.689
257 , "5BZQJ0134-3843 " , 0.881
258 , "5BZQJ0135-2008 " , -9.9
259 , "5BZQJ0136-4044 " , 0.88
260 , "5BZBJ0136+3905 " , 0.594
261 , "5BZQJ0136+4751 " , 0.93
262 , "5BZQJ0137+3122 " , -9.9
263 , "5BZQJ0137-2430 " , 0.875
264 , "5BZBJ0137+5814 " , 0.704
265 , "5BZQJ0138-2711 " , -9.9
266 , "5BZBJ0138-1754 " , 0.764
267 , "5BZQJ0138-0540 " , -9.9
268 , "5BZQJ0138-2254 " , -9.9
269 , "5BZQJ0140-1532 " , 0.813
270 , "5BZBJ0140-0758 " , 0.574
271 , "5BZBJ0141-0928 " , 0.946
272 , "5BZQJ0141-0202 " , -9.9
273 , "5BZUJ0141+3923 " , 0.785
274 , "5BZBJ0142-0544 " , -9.9
275 , "5BZQJ0143+4129 " , -9.9
276 , "5BZUJ0143-3200 " , 0.808
277 , "5BZQJ0143-6813 " , 0.867
278 , "5BZBJ0143-5845 " , 0.539
279 , "5BZBJ0144+2705 " , 0.875
280 , "5BZQJ0145-2733 " , 0.921
281 , "5BZGJ0146-0551 " , -9.9
282 , "5BZQJ0146-2727 " , -9.9
283 , "5BZGJ0146-5202 " , 0.877
284 , "5BZQJ0148+3854 " , -9.9
285 , "5BZGJ0148+1402 " , 0.765
286 , "5BZBJ0148+0129 " , -9.9
287 , "5BZQJ0148+4215 " , 0.883
288 , "5BZQJ0149+0555 " , 1.005
289 , "5BZQJ0149+1857 " , -9.9
290 , "5BZQJ0151-3435 " , 0.899
291 , "5BZQJ0151+2744 " , -9.9
292 , "5BZQJ0152+2207 " , 0.947
293 , "5BZQJ0152-1412 " , 0.918
294 , "5BZQJ0152-2942 " , -9.9
295 , "5BZGJ0152+0147 " , 0.66
296 , "5BZBJ0153+7517 " , 0.639
297 , "5BZQJ0153-3310 " , 0.958
298 , "5BZGJ0153+7115 " , 0.881
299 , "5BZGJ0153-0118 " , 0.693
300 , "5BZBJ0154+0823 " , 0.794
301 , "5BZQJ0154-5107 " , -9.9
302 , "5BZQJ0154-1346 " , 0.933
303 , "5BZBJ0154+4433 " , 0.84
304 , "5BZQJ0154+4743 " , -9.9
305 , "5BZQJ0155+0438 " , 0.911
306 , "5BZQJ0155+2230 " , -9.9
307 , "5BZBJ0156-5302 " , 0.611
308 , "5BZQJ0157+7442 " , 1.004
309 , "5BZQJ0157-4614 " , 0.976
310 , "5BZBJ0158-3932 " , 0.883
311 , "5BZUJ0158+0101 " , -9.9
312 , "5BZBJ0159+1047 " , 0.685
313 , "5BZBJ0159-2740 " , 0.835
314 , "5BZQJ0159-5143 " , -9.9
315 , "5BZBJ0200+2712 " , 0.621
316 , "5BZBJ0201+0034 " , 0.566
317 , "5BZQJ0202+3943 " , -9.9
318 , "5BZGJ0202-0559 " , 0.855
319 , "5BZQJ0202-1948 " , -9.9
320 , "5BZBJ0202+0849 " , 0.735
321 , "5BZBJ0202+4205 " , -9.9
322 , "5BZBJ0203+7232 " , 0.958
323 , "5BZBJ0203+3042 " , -9.9
324 , "5BZQJ0203+1134 " , 0.923
325 , "5BZGJ0204+4005 " , 0.817
326 , "5BZBJ0204-3333 " , 0.569
327 , "5BZUJ0204+1514 " , 1.177
328 , "5BZQJ0204-5146 " , -9.9
329 , "5BZQJ0204-1701 " , 0.941
330 , "5BZQJ0205+3212 " , 0.928
331 , "5BZQJ0205+1444 " , -9.9
332 , "5BZQJ0205+3932 " , -9.9
333 , "5BZQJ0206-1150 " , 0.881
334 , "5BZQJ0206-6143 " , -9.9
335 , "5BZBJ0207-6837 " , 0.935
336 , "5BZQJ0208-6216 " , -9.9
337 , "5BZBJ0208-0047 " , -9.9
338 , "5BZBJ0208+3523 " , 0.533
339 , "5BZBJ0209+4449 " , 0.581
340 , "5BZBJ0209-5229 " , 0.597
341 , "5BZQJ0209-0438 " , 0.88
342 , "5BZQJ0209+1352 " , -9.9
343 , "5BZUJ0209+7229 " , 0.96
344 , "5BZQJ0210-1003 " , 0.963
345 , "5BZUJ0210-5101 " , 0.974
346 , "5BZBJ0211+1051 " , 0.762
347 , "5BZUJ0211-1558 " , 0.794
348 , "5BZBJ0212-3503 " , 0.615
349 , "5BZBJ0212+2244 " , 0.714
350 , "5BZBJ0213+1213 " , -9.9
351 , "5BZQJ0213+1820 " , -9.9
352 , "5BZGJ0214+5144 " , 0.736
353 , "5BZQJ0215-0222 " , 0.945
354 , "5BZQJ0216-0118 " , -9.9
355 , "5BZQJ0216-0105 " , 0.876
356 , "5BZBJ0216+2314 " , 0.6
357 , "5BZQJ0216-7331 " , 0.904
358 , "5BZQJ0216-3247 " , 0.884
359 , "5BZBJ0216-6636 " , 0.692
360 , "5BZUJ0217-0820 " , 0.867
361 , "5BZBJ0217+0837 " , 0.868
362 , "5BZQJ0217+7349 " , 0.973
363 , "5BZQJ0217-7251 " , -9.9
364 , "5BZQJ0217-7347 " , 0.858
365 , "5BZQJ0217+0144 " , 0.945
366 , "5BZQJ0218-0923 " , -9.9
367 , "5BZBJ0219-1725 " , 0.739
368 , "5BZQJ0219+0120 " , -9.9
369 , "5BZBJ0219-1842 " , -9.9
370 , "5BZQJ0220-1305 " , -9.9
371 , "5BZQJ0220-2151 " , -9.9
372 , "5BZBJ0220-0842 " , 0.745
373 , "5BZUJ0220+2509 " , -9.9
374 , "5BZQJ0220-6330 " , 0.955
375 , "5BZUJ0221+3556 " , 0.971
376 , "5BZQJ0222-1615 " , 0.91
377 , "5BZBJ0222+4302 " , 0.845
378 , "5BZQJ0222-3441 " , -9.9
379 , "5BZBJ0223-1117 " , 0.67
380 , "5BZQJ0223-5347 " , -9.9
381 , "5BZQJ0223-1656 " , 0.885
382 , "5BZQJ0224+0659 " , 0.899
383 , "5BZQJ0225+1846 " , 0.802
384 , "5BZGJ0225+3710 " , 0.962
385 , "5BZUJ0226+0937 " , -9.9
386 , "5BZBJ0226-4441 " , 0.578
387 , "5BZQJ0227+3931 " , -9.9
388 , "5BZBJ0227+0202 " , 0.524
389 , "5BZQJ0227-0848 " , 0.858
390 , "5BZQJ0227-3026 " , 0.878
391 , "5BZQJ0228-5546 " , -9.9
392 , "5BZQJ0228-3719 " , -9.9
393 , "5BZQJ0228+6721 " , 0.969
394 , "5BZQJ0228-0337 " , 0.895
395 , "5BZQJ0229-3643 " , 0.816
396 , "5BZQJ0229-7847 " , -9.9
397 , "5BZQJ0229-1031 " , 0.83
398 , "5BZQJ0230+4032 " , 0.823
399 , "5BZQJ0231-4746 " , 0.884
400 , "5BZQJ0231-5841 " , 0.824
401 , "5BZQJ0231+1322 " , 1.006
402 , "5BZQJ0231-3935 " , 0.963
403 , "5BZGJ0232+2017 " , 0.621
404 , "5BZBJ0233+3442 " , 0.847
405 , "5BZQJ0233+0229 " , 0.713
406 , "5BZQJ0235-4737 " , 0.825
407 , "5BZBJ0235-2938 " , 0.553
408 , "5BZQJ0236-2953 " , 0.935
409 , "5BZQJ0236-6136 " , 0.859
410 , "5BZQJ0237+0526 " , -9.9
411 , "5BZBJ0237-3603 " , 0.625
412 , "5BZQJ0237+2848 " , 0.981
413 , "5BZBJ0238-0924 " , 0.608
414 , "5BZBJ0238-3116 " , 0.637
415 , "5BZBJ0238+1636 " , 0.917
416 , "5BZQJ0239-7626 " , 0.864
417 , "5BZQJ0239-0234 " , 0.91
418 , "5BZQJ0239+0416 " , 0.938
419 , "5BZQJ0240+4216 " , -9.9
420 , "5BZQJ0240+1848 " , -9.9
421 , "5BZBJ0240-0504 " , -9.9
422 , "5BZUJ0241-0815 " , 0.995
423 , "5BZQJ0242+2653 " , -9.9
424 , "5BZUJ0242+1742 " , -9.9
425 , "5BZQJ0242+1101 " , -9.9
426 , "5BZBJ0243+0046 " , 0.738
427 , "5BZQJ0243-0550 " , -9.9
428 , "5BZBJ0243+7120 " , 0.893
429 , "5BZBJ0244-5819 " , 0.631
430 , "5BZQJ0245+2405 " , 0.949
431 , "5BZGJ0245-1107 " , -9.9
432 , "5BZQJ0246-4651 " , 0.932
433 , "5BZQJ0246-2945 " , -9.9
434 , "5BZQJ0246+1823 " , 0.976
435 , "5BZQJ0246-1236 " , 0.889
436 , "5BZBJ0248-1631 " , -9.9
437 , "5BZQJ0249+0619 " , -9.9
438 , "5BZQJ0250-2731 " , -9.9
439 , "5BZBJ0250-2129 " , 0.516
440 , "5BZUJ0250+1712 " , 0.682
441 , "5BZQJ0251-6000 " , -9.9
442 , "5BZQJ0251+4315 " , 0.98
443 , "5BZQJ0251+3734 " , -9.9
444 , "5BZQJ0252-2219 " , 0.909
445 , "5BZBJ0253-0124 " , 0.868
446 , "5BZQJ0253+0006 " , 0.931
447 , "5BZQJ0253-5441 " , 0.912
448 , "5BZQJ0253+5102 " , -9.9
449 , "5BZQJ0254+2343 " , -9.9
450 , "5BZQJ0254+3931 " , 0.822
451 , "5BZQJ0256-2137 " , -9.9
452 , "5BZQJ0256-3315 " , -9.9
453 , "5BZQJ0257-1212 " , -9.9
454 , "5BZGJ0257+1847 " , -9.9
455 , "5BZBJ0258+2030 " , 0.783
456 , "5BZQJ0258-3909 " , 0.913
457 , "5BZQJ0258-5052 " , 0.926
458 , "5BZQJ0258+0541 " , 0.948
459 , "5BZQJ0259+0747 " , 0.988
460 , "5BZQJ0259-0020 " , 0.923
461 , "5BZQJ0259+1925 " , 0.874
462 , "5BZBJ0301+3441 " , 0.672
463 , "5BZQJ0301-1812 " , -9.9
464 , "5BZQJ0301+0118 " , -9.9
465 , "5BZQJ0301-7156 " , 0.936
466 , "5BZBJ0302-0750 " , -9.9
467 , "5BZQJ0303-7914 " , -9.9
468 , "5BZBJ0303-2407 " , 0.741
469 , "5BZGJ0303+0554 " , 0.62
470 , "5BZBJ0303+4716 " , 1
471 , "5BZQJ0303-6211 " , 0.965
472 , "5BZBJ0304-2832 " , 0.542
473 , "5BZQJ0304-7007 " , 0.997
474 , "5BZQJ0304-2024 " , -9.9
475 , "5BZQJ0304-4333 " , 0.922
476 , "5BZBJ0304-0054 " , 0.694
477 , "5BZUJ0304+0002 " , 0.809
478 , "5BZBJ0305-0607 " , -9.9
479 , "5BZQJ0307-4857 " , -9.9
480 , "5BZQJ0308-7812 " , -9.9
481 , "5BZBJ0309-3604 " , -9.9
482 , "5BZQJ0309+1029 " , 0.907
483 , "5BZQJ0309-0559 " , -9.9
484 , "5BZBJ0309-0744 " , -9.9
485 , "5BZQJ0309-6058 " , 0.968
486 , "5BZBJ0310+4056 " , 0.709
487 , "5BZQJ0310+3814 " , 0.886
488 , "5BZBJ0311-7701 " , 0.739
489 , "5BZQJ0311-7651 " , 0.821
490 , "5BZQJ0312-5541 " , 0.941
491 , "5BZQJ0312+0133 " , -9.9
492 , "5BZGJ0312+3615 " , 0.707
493 , "5BZUJ0313+4120 " , 0.805
494 , "5BZGJ0313+4115 " , 0.78
495 , "5BZQJ0314-6548 " , 0.801
496 , "5BZBJ0314+0619 " , 0.568
497 , "5BZBJ0314-5104 " , -9.9
498 , "5BZBJ0315-1656 " , -9.9
499 , "5BZQJ0315-2939 " , -9.9
500 , "5BZQJ0315-1031 " , 0.929
501 , "5BZBJ0316+0904 " , 0.694
502 , "5BZBJ0316-6437 " , 0.587
503 , "5BZBJ0316-2607 " , 0.597
504 , "5BZBJ0316-2216 " , 0.548
505 , "5BZQJ0317-2803 " , -9.9
506 , "5BZUJ0317+0248 " , -9.9
507 , "5BZQJ0319-1613 " , -9.9
508 , "5BZUJ0319+4130 " , -9.9
509 , "5BZGJ0319+1901 " , -9.9
510 , "5BZGJ0319+1845 " , 0.542
511 , "5BZQJ0320-3837 " , -9.9
512 , "5BZGJ0320-7500 " , -9.9
513 , "5BZQJ0321-3122 " , -9.9
514 , "5BZQJ0321-0526 " , 0.896
515 , "5BZBJ0321+2336 " , 0.759
516 , "5BZQJ0322-5205 " , 0.683
517 , "5BZQJ0322-5042 " , 0.787
518 , "5BZQJ0322-1335 " , 0.949
519 , "5BZBJ0323-0111 " , 0.709
520 , "5BZBJ0323+0717 " , 0.525
521 , "5BZBJ0323-0108 " , 0.6
522 , "5BZUJ0324+3410 " , 0.769
523 , "5BZQJ0324-2918 " , 0.964
524 , "5BZQJ0325-2140 " , 0.843
525 , "5BZQJ0325-2415 " , -9.9
526 , "5BZQJ0325-5629 " , 0.845
527 , "5BZQJ0325+2224 " , 0.883
528 , "5BZBJ0325-1646 " , 0.488
529 , "5BZBJ0326+0225 " , 0.579
530 , "5BZQJ0326-3243 " , -9.9
531 , "5BZQJ0326-5337 " , 0.852
532 , "5BZQJ0327+0044 " , -9.9
533 , "5BZQJ0327-2202 " , -9.9
534 , "5BZUJ0329+3510 " , 0.894
535 , "5BZQJ0329-2357 " , -9.9
536 , "5BZQJ0331-2524 " , -9.9
537 , "5BZUJ0332-1119 " , 0.752
538 , "5BZQJ0332-7249 " , -9.9
539 , "5BZQJ0332-4455 " , 0.861
540 , "5BZBJ0333-3619 " , 0.639
541 , "5BZBJ0333+2916 " , 0.963
542 , "5BZBJ0333+6536 " , 0.869
543 , "5BZBJ0334-4008 " , 0.926
544 , "5BZBJ0334-3725 " , 0.976
545 , "5BZQJ0334+0800 " , -9.9
546 , "5BZBJ0335-4459 " , 0.617
547 , "5BZBJ0336-0347 " , 0.683
548 , "5BZQJ0336+3218 " , 0.872
549 , "5BZQJ0336-1302 " , 0.889
550 , "5BZQJ0336-3616 " , 0.928
551 , "5BZQJ0337-1204 " , -9.9
552 , "5BZQJ0338+3106 " , -9.9
553 , "5BZBJ0338-2443 " , 0.63
554 , "5BZQJ0339-0133 " , 0.944
555 , "5BZQJ0339-0146 " , 0.971
556 , "5BZQJ0340-6703 " , 0.843
557 , "5BZBJ0340-2119 " , 0.931
558 , "5BZQJ0341+3352 " , -9.9
559 , "5BZQJ0341-5954 " , 0.868
560 , "5BZUJ0342+3859 " , -9.9
561 , "5BZQJ0343-2530 " , 0.962
562 , "5BZQJ0343+3622 " , -9.9
563 , "5BZQJ0343-1141 " , 0.9
564 , "5BZQJ0344+1559 " , -9.9
565 , "5BZQJ0345+1453 " , 0.998
566 , "5BZQJ0345-0023 " , -9.9
567 , "5BZQJ0347+4842 " , -9.9
568 , "5BZQJ0348-2749 " , 0.912
569 , "5BZBJ0348-1610 " , 0.876
570 , "5BZBJ0349-1159 " , 0.469
571 , "5BZQJ0349-2102 " , 0.893
572 , "5BZQJ0350+5138 " , -9.9
573 , "5BZQJ0351-1153 " , -9.9
574 , "5BZQJ0351-7921 " , -9.9
575 , "5BZBJ0351-3703 " , 0.65
576 , "5BZBJ0353-3623 " , 0.543
