bname,other_name,ra,dec,z,rmag,btype,flux_1400MHz,flux_143GHz,flux_xray,flux_fermi,aro,aox,arx,catalog
5BZQJ0750+1231,PKS0748+126,07 50 52.04,+12 31 04.8,0.889,17.3,fsrq,1453.0,2038,1.73,1.5E-9,0.714,1.143,0.873,bzcat
5BZQJ0750-6726,BZQJ0750-6726,07 50 59.54,-67 26 22.59,1.237,17.9,fsrq,63.0,0,0.15,0.0,0.455,1.521,0.832,bzcat
5BZGJ0751+2913,BZBJ0751+2913,07 51 09.56,+29 13 35.5,0.194,17.9,bllac_gal,10.0,0,0.21,0.0,0.277,1.523,0.707,bzcat
5BZQJ0751-0046,OI-081,07 51 10.2,-00 46 51.09,2.101,19.7,fsrq,218.0,0,0.03,0.0,0.733,1.432,0.985,bzcat
5BZGJ0751+1730,1WGAJ0751.4+1730,07 51 25.07,+17 30 51.08,0.187,16.8,bllac_gal,10.0,0,1.78,0.0,0.193,1.332,0.586,bzcat
5BZBJ0751+3928,SDSSJ075144.9+39,07 51 44.94,+39 28 17.61,0.0,20.5,bllac,4.0,0,0.0,0.0,0.512,-9.9,-9.9,bzcat
5BZQJ0751+3313,B2 0748+33,07 51 53.66,+33 13 19.81,1.938,19.6,fsrq,567.0,0,0.0,0.0,0.81,-9.9,-9.9,bzcat
5BZQJ0752+3730,CRATESJ075240+37,07 52 40.91,+37 30 24.29,0.44,20.3,fsrq,114.0,0,0.24,0.0,0.769,1.054,0.887,bzcat
5BZBJ0753+5352,4C54.15,07 53 01.38,+53 52 59.59,0.0,17.9,bllac,803.0,0,0.42,1.2E-9,0.707,1.392,0.939,bzcat
5BZGJ0753+2921,BZUJ0753+2921,07 53 24.6,+29 21 31.89,0.161,17.2,bllac_gal,4.0,0,1.29,0.0,0.143,1.332,0.552,bzcat
5BZGJ0754+4202,BZBJ0754+4202,07 54 00.66,+42 02 48.19,0.369,19.0,bllac_gal,9.0,0,0.0,0.0,0.347,-9.9,-9.9,bzcat
5BZBJ0754-1147,2FGLJ0754.4-1147,07 54 26.45,-11 47 16.9,0.0,18.2,bllac,881.0,392,0.0,1.4E-9,0.67,-9.9,-9.9,bzcat
5BZGJ0754+4546,1RXSJ075436.1+45,07 54 35.81,+45 46 45.08,0.456,19.3,bllac_gal,57.0,0,0.18,0.0,0.502,1.333,0.793,bzcat
5BZGJ0754+3910,1RXSJ075436.4+39,07 54 37.06,+39 10 47.78,0.096,15.7,bllac_gal,58.0,0,0.44,0.0,0.255,1.746,0.764,bzcat
5BZBJ0754+4823,GB 0751+485,07 54 45.66,+48 23 50.71,0.0,17.0,bllac,265.0,509,0.5,1.1E-9,0.502,1.524,0.849,bzcat
5BZQJ0754+3033,FBQS0754+30,07 54 48.84,+30 33 55.0,0.796,17.4,fsrq,48.0,0,0.86,0.0,0.473,1.258,0.778,bzcat
5BZBJ0756+4140,BZBJ0756+4140,07 56 02.73,+41 40 39.79,0.579,19.8,bllac,7.0,0,0.11,0.0,0.455,1.192,0.723,bzcat
5BZGJ0756+3834,1RXSJ075606.7+38,07 56 07.06,+38 34 00.98,0.216,17.0,bllac_gal,65.0,0,0.54,0.0,0.361,1.512,0.759,bzcat
5BZQJ0756-1542,1RXSJ075650.6-15,07 56 50.7,-15 42 05.39,1.42,18.1,fsrq,834.0,0,0.41,0.0,0.691,1.336,0.939,bzcat
5BZBJ0757+0956,PKS0754+100,07 57 06.64,+09 56 34.9,0.266,15.1,bllac,956.0,1105,1.18,2.0E-9,0.468,1.641,0.877,bzcat
5BZGJ0758+2705,BZBJ0758+2705,07 58 46.98,+27 05 15.5,0.099,17.2,bllac_gal,54.0,0,0.0,0.0,0.376,-9.9,-9.9,bzcat
5BZBJ0800+6210,1RXSJ080006.8+62,08 00 04.14,+62 10 14.3,0.0,19.3,uncertain,5.0,0,0.44,0.0,0.333,1.197,0.626,bzcat
5BZBJ0800+1645,SDSSJ080018.79+1,08 00 18.78,+16 45 56.98,0.308,18.0,bllac,83.0,0,0.09,0.0,0.521,1.503,0.862,bzcat
5BZQJ0800+5010,GB6J0800+5010,08 00 36.0,+50 10 44.4,1.613,16.9,fsrq,110.0,0,0.0,0.0,0.45,-9.9,-9.9,bzcat
5BZBJ0801+4401,BZBJ0801+4401,08 01 08.27,+44 01 10.3,0.0,19.8,bllac,228.0,0,0.0,6.0E-10,0.754,-9.9,-9.9,bzcat
5BZBJ0802+1006,BZBJ0802+1006,08 02 04.81,+10 06 37.9,0.0,17.2,bllac,7.0,0,0.0,0.0,0.211,-9.9,-9.9,bzcat
5BZQJ0802+1809,GC0759+18,08 02 48.04,+18 09 48.99,1.586,20.6,fsrq,503.0,0,0.0,0.0,0.894,-9.9,-9.9,bzcat
5BZBJ0803+2437,SDSSJ080307.30+2,08 03 07.3,+24 37 50.91,0.0,18.8,bllac,24.0,0,0.26,0.0,0.463,1.291,0.744,bzcat
5BZBJ0803+4816,1RXSJ080323.1+48,08 03 23.03,+48 16 17.9,0.503,19.7,bllac,12.0,0,1.36,0.0,0.523,0.735,0.611,bzcat
5BZUJ0804-1712,--,08 04 33.7,-17 12 04.21,1.043,17.3,uncertain,287.0,0,0.0,0.0,0.468,-9.9,-9.9,bzcat
5BZQJ0805+6144,GB6J0805+6144,08 05 18.14,+61 44 24.0,3.033,19.7,fsrq,828.0,0,0.8,1.0E-9,0.848,0.863,0.908,bzcat
5BZBJ0805+7534,RXJ08054+7534,08 05 26.63,+75 34 24.99,0.121,15.2,bllac,52.0,0,3.66,1.5E-9,0.247,1.388,0.638,bzcat
5BZBJ0806+1330,SDSSJ080615.30+1,08 06 15.3,+13 30 20.01,0.504,19.7,bllac,14.0,0,0.0,0.0,0.567,-9.9,-9.9,bzcat
5BZBJ0806+5931,SBS0802+596,08 06 25.92,+59 31 07.1,0.0,15.7,bllac,61.0,0,2.24,0.0,0.245,1.475,0.662,bzcat
5BZQJ0806+4504,S4 0803+45,08 06 33.47,+45 04 32.41,2.102,19.6,fsrq,412.0,0,0.0,0.0,0.786,-9.9,-9.9,bzcat
5BZQJ0807+5117,GB6J0807+5117,08 07 01.0,+51 17 38.68,1.136,18.1,fsrq,214.0,0,0.0,0.0,0.618,-9.9,-9.9,bzcat
5BZBJ0807-0541,2FGLJ0807.1-0543,08 07 09.61,-05 41 13.88,0.0,17.9,bllac,545.0,0,0.31,1.3E-9,0.635,1.457,0.914,bzcat
5BZQJ0808+4752,GB6B0804+4801,08 08 14.7,+47 52 44.68,0.545,17.8,fsrq,50.0,0,0.4,0.0,0.431,1.34,0.74,bzcat
5BZQJ0808-0751,PKS0805-07,08 08 15.54,-07 51 09.9,1.837,17.8,fsrq,1595.0,0,0.88,1.5E-8,0.738,1.205,0.926,bzcat
5BZQJ0808+7315,S50802+733,08 08 16.37,+73 15 12.2,0.496,20.3,fsrq,300.0,0,0.0,0.0,0.831,-9.9,-9.9,bzcat
5BZQJ0808+4950,OJ 508,08 08 39.65,+49 50 36.99,1.432,18.6,fsrq,1115.0,0,0.27,0.0,0.796,1.25,0.982,bzcat
5BZQJ0808+4052,B3 0805+410,08 08 56.63,+40 52 44.9,1.418,19.0,fsrq,584.0,500,0.55,0.0,0.779,1.058,0.905,bzcat
5BZGJ0809+3122,B2 0806+31,08 09 13.4,+31 22 23.01,0.296,18.9,bllac_gal,196.0,0,0.0,0.0,0.566,-9.9,-9.9,bzcat
5BZGJ0809+3455,0806+350,08 09 38.9,+34 55 37.41,0.083,15.8,bllac_gal,223.0,0,4.07,7.0E-10,0.368,1.364,0.708,bzcat
5BZQJ0809+5341,BZQJ0809+5341,08 09 41.71,+53 41 25.11,2.133,20.4,fsrq,140.0,0,0.0,0.0,0.766,-9.9,-9.9,bzcat
5BZBJ0809+5218,1ES0806+524,08 09 49.19,+52 18 58.39,0.138,15.3,bllac,182.0,0,8.26,2.4E-9,0.364,1.268,0.677,bzcat
5BZQJ0810+3847,BZQJ0810+3847,08 10 09.98,+38 47 57.58,3.946,19.8,fsrq,32.0,0,0.59,0.0,0.558,0.941,0.706,bzcat
5BZGJ0810+4911,BZBJ0810+4911,08 10 54.6,+49 11 03.91,0.115,15.6,bllac_gal,11.0,0,0.2,0.0,0.104,1.893,0.715,bzcat
5BZGJ0810+2846,BZBJ0810+2846,08 10 58.19,+28 46 18.58,0.272,19.0,bllac_gal,42.0,0,0.0,0.0,0.486,-9.9,-9.9,bzcat
5BZQJ0810+4134,ROXAJ081058.9+41,08 10 59.0,+41 34 03.0,0.507,19.4,fsrq,220.0,0,0.33,0.0,0.706,1.132,0.859,bzcat
5BZQJ0811+5714,1RXSJ081100.8+57,08 11 00.6,+57 14 12.51,0.611,17.8,fsrq,453.0,0,0.78,0.0,0.645,1.224,0.851,bzcat
5BZBJ0811-7530,2FGLJ0811.1-7527,08 11 03.23,-75 30 27.9,0.0,17.2,bllac,147.0,0,0.43,2.7E-9,0.425,1.581,0.817,bzcat
5BZQJ0811+4533,1WGAJ0811.1+4534,08 11 08.76,+45 33 48.81,1.017,18.9,fsrq,81.0,0,0.14,0.0,0.614,1.319,0.887,bzcat
5BZBJ0811+0146,PKS 0808+019,08 11 26.71,+01 46 52.28,1.148,19.2,bllac,598.0,0,0.25,1.3E-9,0.753,1.25,0.989,bzcat
5BZQJ0811+4831,MS 08080+4840,08 11 37.21,+48 31 33.99,0.703,18.1,fsrq,159.0,0,0.45,0.0,0.551,1.268,0.792,bzcat
5BZBJ0812+1141,SDSSJ081226.00+1,08 12 26.01,+11 41 58.59,0.0,19.8,bllac,19.0,0,0.0,0.0,0.681,-9.9,-9.9,bzcat
5BZQJ0812-1810,PKS 0810-180,08 12 28.51,-18 10 42.81,2.973,20.1,fsrq,488.0,0,0.0,0.0,0.804,-9.9,-9.9,bzcat
5BZBJ0812+6509,2FGLJ0812.6+6511,08 12 40.84,+65 09 10.9,0.0,17.8,bllac,31.0,0,1.43,4.0E-10,0.414,1.206,0.683,bzcat
5BZBJ0812+5554,BZBJ0812+5554,08 12 51.43,+55 54 21.88,0.383,18.3,bllac,27.0,0,0.68,0.0,0.43,1.178,0.696,bzcat
5BZQJ0813+2542,5C7.018,08 13 03.83,+25 42 11.19,2.024,18.8,fsrq,423.0,0,0.18,0.0,0.728,1.261,0.936,bzcat
5BZQJ0814+3237,B2 0810+32,08 14 09.22,+32 37 32.01,0.844,18.7,fsrq,256.0,0,0.29,0.0,0.667,1.235,0.87,bzcat
5BZBJ0814-1012,1RXSJ081411.7-10,08 14 11.69,-10 12 10.29,0.0,16.6,uncertain,36.0,0,2.65,1.1E-9,0.267,1.354,0.636,bzcat
5BZBJ0814+2940,EXO0811.2+2949,08 14 21.25,+29 40 21.28,0.0,18.4,bllac,28.0,0,0.88,0.0,0.431,1.17,0.681,bzcat
5BZBJ0814+6431,1FGL_J0815.0+643,08 14 39.18,+64 31 22.11,0.0,17.5,bllac,88.0,0,0.29,1.3E-9,0.523,1.523,0.862,bzcat
5BZQJ0815+3635,1Jy0812+367,08 15 25.93,+36 35 15.21,1.028,18.4,fsrq,995.0,0,0.0,0.0,0.77,-9.9,-9.9,bzcat
5BZGJ0816-0735,1WGAJ0816.0-0736,08 16 04.19,-07 35 59.71,0.04,14.6,bllac_gal,43.0,0,0.0,0.0,0.182,-9.9,-9.9,bzcat
5BZBJ0816+4910,SDSSJ081609.57+4,08 16 09.56,+49 10 04.4,0.0,17.9,bllac,49.0,0,0.0,0.0,0.447,-9.9,-9.9,bzcat
5BZBJ0816+5739,SBS0812+578,08 16 22.7,+57 39 09.28,0.0,17.3,bllac,100.0,0,1.52,1.0E-9,0.421,1.284,0.713,bzcat
5BZBJ0816-1311,RXSJ08164-1311,08 16 27.2,-13 11 52.58,0.0,16.0,bllac,70.0,0,8.64,2.7E-9,0.292,1.238,0.613,bzcat
5BZBJ0816+6208,1RXSJ081640.9+62,08 16 43.09,+62 08 29.18,0.0,18.8,uncertain,85.0,0,0.4,0.0,0.488,1.287,0.759,bzcat
5BZBJ0816+2051,BZBJ0816+2051,08 16 49.78,+20 51 06.51,0.0,18.1,bllac,39.0,0,0.0,4.0E-10,0.403,-9.9,-9.9,bzcat
5BZBJ0817-0933,2FGLJ0818.2-0935,08 17 49.75,-09 33 30.6,0.0,16.9,bllac,468.0,0,0.0,1.5E-9,0.534,-9.9,-9.9,bzcat
5BZBJ0817+3243,SDSSJ081751.00+3,08 17 50.99,+32 43 40.8,0.0,18.5,bllac,7.0,0,0.47,5.0E-10,0.322,1.262,0.641,bzcat
5BZBJ0818+2814,5C7.097,08 18 27.35,+28 14 02.9,0.226,17.4,bllac,64.0,0,0.13,0.0,0.488,1.516,0.846,bzcat
5BZBJ0818+3153,GB6B0815+3203,08 18 40.06,+31 53 48.19,0.0,19.2,bllac,63.0,0,0.0,0.0,0.558,-9.9,-9.9,bzcat
5BZBJ0819-0756,1WGAJ0819.2-0756,08 19 17.58,-07 56 26.01,0.0,18.4,uncertain,7.0,0,1.4,3.0E-10,0.285,1.152,0.579,bzcat
5BZBJ0819+2747,5C7.119,08 19 18.85,+27 47 30.69,0.0,18.9,bllac,234.0,0,0.0,4.0E-10,0.662,-9.9,-9.9,bzcat
5BZBJ0819+4037,GB6J0819+4037,08 19 25.9,+40 37 44.0,0.389,18.7,bllac,79.0,0,0.0,0.0,0.598,-9.9,-9.9,bzcat
5BZBJ0819+1429,SDSSJ081931.58+1,08 19 31.59,+14 29 37.6,0.494,19.3,bllac,8.0,0,0.0,0.0,0.433,-9.9,-9.9,bzcat
5BZBJ0820+3640,FIRSTJ08203+3640,08 20 20.19,+36 40 04.58,0.0,18.8,bllac,94.0,0,0.0,0.0,0.635,-9.9,-9.9,bzcat
5BZGJ0820+4853,GB6J0820+4853,08 20 28.09,+48 53 47.4,0.133,15.8,bllac_gal,188.0,0,0.28,0.0,0.321,1.803,0.826,bzcat
5BZBJ0820+2353,SDSSJ082051.20+2,08 20 51.19,+23 53 45.38,0.402,18.0,bllac,49.0,0,0.64,0.0,0.442,1.26,0.733,bzcat
5BZBJ0820-1258,PKS 0818-128,08 20 57.45,-12 58 59.08,0.0,16.5,bllac,1096.0,0,0.96,0.0,0.58,1.509,0.895,bzcat
5BZQJ0821-0323,PKS 0819-032,08 21 40.03,-03 23 12.69,2.352,18.1,fsrq,565.0,0,0.0,0.0,0.687,-9.9,-9.9,bzcat
5BZQJ0821+5031,GB6J0821+5031,08 21 53.81,+50 31 20.89,2.133,17.8,fsrq,59.0,0,0.0,0.0,0.479,-9.9,-9.9,bzcat
5BZQJ0822+4041,B30819+408,08 22 57.54,+40 41 49.81,0.866,18.9,fsrq,345.0,342,0.0,7.0E-10,0.718,-9.9,-9.9,bzcat
5BZBJ0823+1125,SDSSJ082320.56+1,08 23 20.56,+11 25 51.31,0.441,19.0,bllac,10.0,0,0.63,0.0,0.432,1.017,0.644,bzcat
5BZGJ0823+1524,SDSSJ082323.24+1,08 23 23.24,+15 24 47.91,0.167,17.1,bllac_gal,21.0,0,0.0,0.0,0.332,-9.9,-9.9,bzcat
5BZQJ0823+2928,B2 0820+29,08 23 41.05,+29 28 28.19,2.368,18.8,fsrq,469.0,0,0.0,0.0,0.739,-9.9,-9.9,bzcat
5BZQJ0824+5552,OJ 535,08 24 47.23,+55 52 42.88,1.417,18.1,fsrq,1449.0,263,0.64,8.0E-10,0.769,1.183,0.926,bzcat
5BZQJ0824-1527,CGRaBSJ0824-1527,08 24 51.61,-15 27 45.89,1.289,18.9,fsrq,170.0,0,0.0,0.0,0.652,-9.9,-9.9,bzcat
5BZQJ0824+3916,4C+39.23,08 24 55.48,+39 16 41.98,1.216,17.9,fsrq,1481.0,583,1.06,4.0E-10,0.752,1.132,0.891,bzcat
5BZQJ0825+1332,GB6B0822+1342,08 25 11.93,+13 32 32.78,1.143,19.8,fsrq,224.0,0,0.0,0.0,0.758,-9.9,-9.9,bzcat
5BZQJ0825+6157,4CP 62.12,08 25 38.62,+61 57 28.69,0.542,17.0,fsrq,627.0,0,0.75,0.0,0.62,1.356,0.881,bzcat
5BZQJ0825+2704,0822+27W1,08 25 47.39,+27 04 22.11,0.693,19.7,fsrq,108.0,0,0.38,0.0,0.703,1.04,0.84,bzcat
5BZBJ0825+0309,PKS0823+033,08 25 50.34,+03 09 24.4,0.506,18.3,bllac,1400.0,0,1.57,7.0E-10,0.754,1.078,0.884,bzcat
5BZBJ0826-2230,PKS 0823-223,08 26 01.57,-22 30 27.21,0.91,15.0,bllac,519.0,493,1.32,4.5E-9,0.376,1.679,0.862,bzcat
5BZBJ0826+4130,SDSSJ082603.93+4,08 26 03.95,+41 30 43.88,0.0,19.2,bllac,12.0,0,0.0,0.0,0.466,-9.9,-9.9,bzcat
5BZBJ0827+0841,BZBJ0827+0841,08 27 07.08,+08 41 21.51,0.0,19.5,uncertain,15.0,0,0.6,0.0,0.449,1.1,0.67,bzcat
5BZQJ0827+3525,B2 0824+35A,08 27 38.59,+35 25 05.19,2.25,20.8,fsrq,957.0,0,0.0,0.0,0.959,-9.9,-9.9,bzcat
5BZBJ0828+2312,BZBJ0828+2312,08 28 01.14,+23 12 17.78,0.0,19.9,bllac,36.0,0,0.0,0.0,0.661,-9.9,-9.9,bzcat
5BZGJ0828+4153,GB6B0824+4203,08 28 14.21,+41 53 52.11,0.226,17.5,bllac_gal,91.0,0,1.13,0.0,0.4,1.309,0.713,bzcat
5BZGJ0829+1754,CRATESJ082905+17,08 29 04.82,+17 54 15.91,0.089,15.6,bllac_gal,335.0,0,1.51,0.0,0.382,1.55,0.781,bzcat
5BZGJ0830+3923,B30827+395,08 30 19.36,+39 23 46.6,0.0,17.4,bllac_gal,58.0,0,0.0,0.0,0.347,-9.9,-9.9,bzcat
5BZQJ0830-0636,CRATESJ083049-06,08 30 49.74,-06 36 20.01,1.73,18.8,fsrq,128.0,0,0.0,0.0,0.623,-9.9,-9.9,bzcat
5BZGJ0831+5400,BZBJ0831+5400,08 31 00.36,+54 00 23.5,0.062,15.3,bllac_gal,16.0,0,0.0,0.0,0.211,-9.9,-9.9,bzcat
5BZQJ0831-2228,--,08 31 09.14,-22 28 26.79,1.599,18.6,fsrq,207.0,0,0.0,0.0,0.638,-9.9,-9.9,bzcat
5BZBJ0831+1746,SDSSJ083133.04+1,08 31 33.06,+17 46 30.68,0.0,18.6,bllac,33.0,0,0.0,0.0,0.491,-9.9,-9.9,bzcat
5BZGJ0831+4608,BZUJ0831+4608,08 31 39.81,+46 08 00.99,0.131,16.1,bllac_gal,132.0,0,0.0,0.0,0.36,-9.9,-9.9,bzcat
5BZBJ0831+0429,PKS 0829+046,08 31 48.88,+04 29 39.08,0.174,15.4,bllac,1241.0,468,0.6,5.0E-9,0.564,1.692,0.958,bzcat
5BZQJ0831+0847,1H 0829+089,08 31 55.08,+08 47 43.58,0.941,19.7,fsrq,95.0,833,0.32,0.0,0.686,1.051,0.834,bzcat
5BZBJ0832+4913,S40828+493,08 32 23.21,+49 13 21.21,0.0,19.3,bllac,344.0,340,0.15,0.0,0.79,1.242,0.944,bzcat
5BZBJ0832+3300,ROXAJ083251.4+33,08 32 51.46,+33 00 11.01,0.672,20.4,bllac,4.0,0,1.54,0.0,0.488,0.587,0.542,bzcat
5BZQJ0833+0350,PKSB0830+040,08 33 18.93,+03 50 32.49,0.903,19.5,fsrq,238.0,0,0.0,0.0,0.745,-9.9,-9.9,bzcat
5BZQJ0833-7305,PKSB0833-729,08 33 43.14,-73 05 26.19,1.989,20.7,fsrq,259.0,0,0.0,0.0,0.802,-9.9,-9.9,bzcat
5BZQJ0833+4224,S4 0830+42,08 33 53.88,+42 24 01.9,0.249,17.0,fsrq,249.0,433,0.77,7.0E-10,0.572,1.372,0.854,bzcat
5BZBJ0833+4726,1RXSJ083357.5+47,08 33 57.07,+47 26 53.01,0.494,18.8,bllac,11.0,0,1.11,0.0,0.387,1.02,0.618,bzcat
5BZQJ0834+6019,GB6B0830+6030,08 34 17.54,+60 19 47.09,0.72,19.8,fsrq,190.0,0,0.18,0.0,0.762,1.153,0.921,bzcat
5BZBJ0834+1825,SDSSJ083417.58+1,08 34 17.59,+18 25 01.81,0.336,18.7,bllac,20.0,0,0.2,0.0,0.536,1.177,0.77,bzcat
5BZQJ0834-2241,BZQJ0834-2241,08 34 44.17,-22 41 12.8,1.064,19.9,fsrq,110.0,0,0.0,0.0,0.71,-9.9,-9.9,bzcat
5BZGJ0834+5534,1Jy0831+557,08 34 54.96,+55 34 22.0,0.242,17.2,bllac_gal,8283.0,0,1.21,0.0,0.786,1.337,0.98,bzcat
5BZBJ0834+4403,B30831+442,08 34 58.19,+44 03 38.3,0.0,18.0,bllac,149.0,0,0.0,5.0E-10,0.55,-9.9,-9.9,bzcat
5BZBJ0835+0937,SDSSJ083543.21+0,08 35 43.2,+09 37 18.01,0.0,18.3,bllac,79.0,0,0.0,0.0,0.525,-9.9,-9.9,bzcat
5BZQJ0835+6835,CRATESJ083544+68,08 35 47.63,+68 35 12.01,1.414,18.6,fsrq,88.0,0,0.0,0.0,0.575,-9.9,-9.9,bzcat
5BZGJ0835+1517,CRATESJ083548+15,08 35 48.13,+15 17 17.08,0.169,16.7,bllac_gal,50.0,0,0.0,0.0,0.36,-9.9,-9.9,bzcat
5BZQJ0836+0053,GB6J0836+0053,08 36 15.81,+00 53 00.49,1.826,23.2,fsrq,24.0,0,0.0,0.0,0.917,-9.9,-9.9,bzcat
5BZQJ0836+2728,OJ 256,08 36 22.88,+27 28 52.6,0.765,19.6,fsrq,313.0,0,0.22,0.0,0.761,1.142,0.902,bzcat
5BZQJ0836+4125,S4 0833+41,08 36 36.9,+41 25 54.8,1.301,17.4,fsrq,488.0,0,0.87,0.0,0.619,1.246,0.846,bzcat
5BZQJ0836-2016,PKS0834-20,08 36 39.2,-20 16 59.59,2.752,18.5,fsrq,1971.0,0,0.47,0.0,0.818,1.167,0.965,bzcat
5BZQJ0836-2233,PKS 0834-223,08 36 50.76,-22 33 10.11,0.837,15.9,fsrq,464.0,393,0.71,0.0,0.485,1.532,0.847,bzcat
5BZQJ0837+5825,S40833+58,08 37 22.42,+58 25 02.31,2.101,17.9,fsrq,690.0,0,0.11,0.0,0.697,1.485,0.998,bzcat
5BZBJ0837+1458,GB6J0837+1458,08 37 24.71,+14 58 19.81,0.278,17.3,bllac,54.0,0,11.5,0.0,0.403,0.875,0.572,bzcat
5BZQJ0837+2454,B2 0834+25,08 37 40.24,+24 54 22.89,1.122,18.0,fsrq,522.0,0,0.32,0.0,0.685,1.307,0.913,bzcat
5BZBJ0837+1759,SDSSJ083743.98+1,08 37 43.99,+17 59 20.0,0.313,18.4,bllac,8.0,0,0.0,0.0,0.413,-9.9,-9.9,bzcat
5BZGJ0839+4015,BZBJ0839+4015,08 39 03.08,+40 15 45.79,0.194,16.9,bllac_gal,45.0,0,0.0,0.0,0.329,-9.9,-9.9,bzcat
5BZBJ0839+3618,SDSSJ083918.74+3,08 39 18.76,+36 18 55.69,0.335,19.2,bllac,9.0,0,0.48,0.0,0.48,0.959,0.654,bzcat
5BZBJ0839+1802,TEX 0836+182,08 39 30.71,+18 02 47.18,0.0,17.1,bllac,410.0,0,0.31,4.0E-10,0.546,1.567,0.892,bzcat
5BZBJ0839+3540,GB6B0836+3550,08 39 43.37,+35 40 01.48,0.0,18.7,bllac,77.0,0,0.0,4.0E-10,0.552,-9.9,-9.9,bzcat
5BZQJ0839+5112,GB6B0836+5122,08 39 46.2,+51 12 02.8,4.403,19.4,fsrq,42.0,0,0.0,0.0,0.516,-9.9,-9.9,bzcat
5BZUJ0839+0204,F2MSJ0839+0204,08 39 47.39,+02 04 34.1,0.0,20.6,uncertain,2.0,0,0.0,0.0,0.359,-9.9,-9.9,bzcat
5BZQJ0839+0104,PKS0837+012,08 39 49.61,+01 04 26.9,1.123,18.7,fsrq,422.0,0,0.49,8.0E-10,0.731,1.132,0.895,bzcat
5BZUJ0840+1312,3C207.0,08 40 47.59,+13 12 23.5,0.681,18.2,uncertain,2614.0,649,0.48,8.0E-10,0.739,1.322,0.946,bzcat
5BZBJ0840+3721,SDSSJ084056.05+3,08 40 56.05,+37 21 06.01,0.0,19.2,bllac,21.0,0,0.0,0.0,0.511,-9.9,-9.9,bzcat
5BZBJ0841-3555,--,08 41 21.62,-35 55 05.8,0.0,17.2,bllac,74.0,0,3.55,1.7E-9,0.248,1.463,0.66,bzcat
5BZQJ0841+7053,4C71.07,08 41 24.35,+70 53 42.28,2.218,16.8,fsrq,3823.0,0,5.52,7.0E-10,0.762,0.981,0.844,bzcat
5BZQJ0842+4018,BZQJ0842+4018,08 42 03.73,+40 18 31.5,0.152,16.6,fsrq,22.0,0,2.56,0.0,0.348,1.245,0.66,bzcat
5BZQJ0842+1835,DW 0839+18,08 42 05.1,+18 35 41.2,1.272,16.6,fsrq,1260.0,0,0.43,0.0,0.644,1.466,0.934,bzcat
5BZQJ0842+4525,US 1498,08 42 15.35,+45 25 44.29,1.409,17.3,fsrq,74.0,0,0.0,0.0,0.458,-9.9,-9.9,bzcat
5BZBJ0842+0252,BZBJ0842+0252,08 42 25.5,+02 52 52.78,0.425,18.8,bllac,17.0,0,0.37,6.0E-10,0.448,1.164,0.705,bzcat
5BZQJ0843+3742,GB6B0840+3753,08 43 52.85,+37 42 28.29,1.741,18.9,fsrq,103.0,0,0.0,0.0,0.613,-9.9,-9.9,bzcat
5BZBJ0844+5312,GB6J0844+5312,08 44 11.7,+53 12 50.68,0.0,18.3,bllac,47.0,0,0.16,5.0E-10,0.476,1.465,0.811,bzcat
5BZQJ0845-6527,CGRaBSJ0845-6527,08 45 11.34,-65 27 23.18,2.274,17.2,fsrq,18.0,0,0.0,0.0,0.323,-9.9,-9.9,bzcat
5BZQJ0845-5555,--,08 45 49.67,-55 55 26.68,0.433,19.8,fsrq,0.0,297,0.0,0.0,0.643,-9.9,-9.9,bzcat
5BZQJ0846+0641,1RXSJ084649.7+06,08 46 49.99,+06 41 49.2,0.616,17.3,fsrq,87.0,0,0.86,0.0,0.483,1.285,0.772,bzcat
5BZUJ0847-2337,1RXSJ084702.1-23,08 47 01.57,-23 37 01.81,0.059,13.0,uncertain,145.0,0,2.42,1.0E-9,0.109,1.919,0.725,bzcat
5BZBJ0847+1133,RXSJ08472+1133,08 47 12.93,+11 33 50.29,0.199,17.4,bllac,33.0,0,11.0,5.0E-10,0.46,0.735,0.562,bzcat
5BZBJ0847-0703,PCCS1353G233.74+,08 47 56.74,-07 03 16.88,0.0,15.3,bllac,183.0,413,2.15,4.0E-10,0.428,1.535,0.803,bzcat
5BZQJ0847-0520,PKS 0845-051,08 47 58.74,-05 20 33.79,1.242,18.9,fsrq,368.0,0,0.0,0.0,0.729,-9.9,-9.9,bzcat
5BZGJ0848+8111,BZBJ0848+8111,08 48 28.01,+81 11 47.61,0.175,15.1,bllac_gal,12.0,0,1.22,0.0,0.079,1.648,0.617,bzcat
5BZBJ0848+0506,1RXSJ084840.1+05,08 48 39.65,+05 06 17.89,0.0,20.2,bllac,3.0,0,2.44,0.0,0.466,0.567,0.5,bzcat
5BZBJ0848+6606,1FGL_J0849.3+660,08 48 54.6,+66 06 09.28,0.0,17.2,bllac,47.0,0,0.0,5.0E-10,0.405,-9.9,-9.9,bzcat
5BZBJ0849+0206,SDSSJ084908.81+0,08 49 08.82,+02 06 22.5,0.0,19.2,bllac,54.0,0,0.0,0.0,0.601,-9.9,-9.9,bzcat
5BZBJ0849+0455,GB6J0849+0455,08 49 32.54,+04 55 07.89,0.0,17.8,bllac,184.0,0,0.0,6.0E-10,0.485,-9.9,-9.9,bzcat
5BZUJ0849+5108,0846+51W1,08 49 57.99,+51 08 29.0,0.583,18.3,uncertain,266.0,0,0.12,0.0,0.571,1.528,0.909,bzcat
