Object Name,RA(deg),DEC(deg),Redshift
SDSS J135726.47+001542.3,209.36029,0.26178,0.661433
SBS 1356+581,209.57335,57.86793,1.372006
SDSS J140126.14+520834.6,210.35897,52.14296,2.971695
FBQS J141159.7+423950,212.9989,42.66399,0.887025
SBS 1411+533,213.35112,53.09081,0.456344
[HB89] 1415+463,214.28401,46.11818,1.553961
SDSS J142020.67+462440.8,215.08616,46.41136,1.255253
SBS 1421+511,215.80911,50.92702,0.276217
FBQS J142606.1+402432,216.52581,40.40889,0.664427
SDSS J142632.38+025645.2,216.63496,2.94592,0.862092
SDSS J145247.37+473529.1,223.19739,47.59142,1.156536
4C +04.49,224.74732,4.27051,0.391547
SDSS J150031.79+483646.8,225.13253,48.61301,1.026982
2MASSi J1503248+475829,225.85324,47.97491,0.3445
SDSS J150759.72+041512.1,226.99889,4.25333,1.7029
SDSS J150824.68+560423.0,227.10286,56.07308,0.97786
SDSS J151526.67+593452.9,228.86115,59.5814,0.622729
SDSS J151830.93+483214.4,229.62891,48.53734,0.576472
SDSS J152544.71+354446.8,231.43636,35.74631,1.107191
SDSS J152556.22+591659.5,231.48429,59.2832,0.952401
2MASSi J1529421+350851,232.42586,35.14758,0.287791
SDSS J153107.38+584410.1,232.78081,58.73609,1.717874
SDSS J153232.30+513002.1,233.13459,51.50062,1.878321
SDSS J153404.40+580059.4,233.51835,58.01652,1.568695
SDSS J153404.87+482340.9,233.5203,48.3947,0.541945
SDSS J153432.56+492049.1,233.63568,49.34699,1.295603
SBS 1533+588,233.73852,58.65652,1.907111
SDSS J154232.02+493842.6,235.6335,49.64515,0.590158
SBS 1543+517,236.26176,51.58358,1.932614
SDSS J154917.47+503805.7,237.32279,50.63494,2.170987
[HB89] 1546+027,237.37265,2.61699,0.414375
SDSS J155853.64+425817.7,239.72352,42.97159,0.874564
FBQS J160226.8+274141,240.61208,27.69498,0.93766
SDSS J160623.56+540555.7,241.5982,54.09885,0.879376
B2 1604+27,241.74292,27.28488,0.933578
B2 1606+40,242.09232,40.20495,0.628143
SDSS J160913.18+535429.5,242.305,53.90825,0.992581
SDSS J161035.44+480022.5,242.6477,48.00626,0.247116
FBQS J161446.9+374607,243.69566,37.76869,1.531222
SDSS J161655.57+362134.5,244.23158,36.35958,2.263552
SDSS J162229.31+400643.5,245.62223,40.11206,0.688455
[HB89] 1621+392,245.78176,39.159,1.981361
[HB89] 1621+361,245.87722,35.99254,0.867082
[HB89] 1622+395,246.09165,39.41136,1.118282
SDSS J162553.30+434713.8,246.47213,43.78717,1.048102
FBQS J1629+4007,247.25546,40.13331,0.272486
FBQS J163302.0+392427,248.25877,39.40762,1.024575
[HB89] 1633+382,248.81455,38.13458,1.813091
FBQS J163709.3+414030,249.28885,41.67516,0.760816
FBQS J163755.2+250930,249.48009,25.15842,1.110029
B3 1637+436A,249.73556,43.58682,0.339389
SDSS J164054.15+314329.9,250.22569,31.72497,0.956516
[HB89] 1640+396,250.44813,39.58429,0.539291
3C 345,250.74504,39.81028,0.5928
SDSS J164452.57+373009.2,251.21909,37.50257,0.75827
SDSS J164544.69+375526.0,251.4362,37.92398,0.603054
B3 1646+411,252.12191,41.06821,0.8508
FBQS J165005.4+414032,252.52283,41.67567,0.585073
SDSS J165201.50+623208.9,253.00633,62.53586,1.635887
SDSS J165329.91+310756.8,253.37463,31.13246,1.297535
[HB89] 1656+348,254.50591,34.72456,1.937039
FBQS J165931.9+373528,254.88303,37.59138,0.7721
SDSS J170112.37+353353.3,255.30155,35.56483,0.501284
SDSS J170232.61+315752.3,255.63595,31.9645,1.955348
SDSS J170425.11+333145.9,256.10454,33.52947,0.290278
FBQS J170648.0+321422,256.70027,32.23969,1.070468
SDSS J171715.16+262148.8,259.3132,26.36358,1.94084
SDSS J172051.14+620944.3,260.21312,62.16231,1.009951
SDSS J172732.39+584634.4,261.88501,58.77621,0.843499
[HB89] 2134+004,324.16078,0.69839,1.944603
