id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Comment on redshift , Comment on rmag , Commenton radio flux , Fermi flux1-100 GeV(ph/cm2/s) , aro-aox-arx
674 , "5BZBJ0439-4522 " , "1Jy0437-454 " , "04 39 00.84" , "-45 22 22.51" , "250.85" , "-41.77" , 0 , 19.5 , 7300 , 978 , 290 , 0.58 , ". " , " " , " " , 1.1e-9 , 0.889
675 , "5BZGJ0439+0520 " , "GB6B0436+0515 " , "04 39 02.26" , "+05 20 43.69" , "191.29" , "-26.2" , 0.208 , 15.3 , 7309 , 82 , 0 , 2.22 , ". " , " " , " " , 0 , 0.282
676 , "5BZUJ0439-3210 " , "PKS0437-322 " , "04 39 33.88" , "-32 10 09.8" , "233.3" , "-40.75" , 0 , 19.7 , 7900 , 374 , 0 , 0.11 , ". " , " " , " " , 3e-10 , 0.711
677 , "5BZQJ0439-3017 " , "PKS0437-303 " , "04 39 53.2" , "-30 17 45.59" , "230.9" , "-40.34" , 1.447 , 19.7 , 7211 , 249 , 0 , 0 , ". " , " " , " " , 0 , 0.756
678 , "5BZQJ0440-4333 " , "PKS0438-43 " , "04 40 17.17" , "-43 33 08.6" , "248.4" , "-41.57" , 2.852 , 18.2 , 7211 , 6362 , 325 , 0.4 , ". " , " " , " " , 0 , 0.913
679 , "5BZBJ0440-2459 " , "SHBLJ044017.8-24" , "04 40 18.56" , "-24 59 34.11" , "224.22" , "-39.01" , 0.6 , 17.9 , 7390 , 13 , 0 , 2.09 , " ? " , " " , " " , 0 , 0.296
680 , "5BZUJ0440+1437 " , "GB6B0437+1432 " , "04 40 21.13" , "+14 37 57.0" , "183.25" , "-20.55" , 0 , 18 , 7900 , 222 , 0 , 0.13 , ". " , " " , " " , 7e-10 , 0.533
681 , "5BZBJ0440+2750 " , "GB6J0440+2750 " , "04 40 50.38" , "+27 50 46.78" , "172.54" , "-12.22" , 0 , 18.4 , 7300 , 103 , 0 , 0.18 , ". " , " " , " " , 9e-10 , 0.461
682 , "5BZQJ0441-4313 " , "PKS 0439-433 " , "04 41 17.28" , "-43 13 43.6" , "247.97" , "-41.39" , 0.593 , 14.8 , 7211 , 334 , 0 , 0.76 , ". " , " " , " " , 0 , 0.391
683 , "5BZBJ0441-2952 " , "PKS0439-299 " , "04 41 19.49" , "-29 52 36.3" , "230.44" , "-39.95" , 0 , 19.4 , 7390 , 576 , 0 , 0 , ". " , " " , " " , 0 , 0.736
684 , "5BZBJ0441+1504 " , "SHBLJ04414+1504 " , "04 41 27.47" , "+15 04 55.59" , "183.04" , "-20.06" , 0 , 18.4 , 7300 , 14 , 0 , 10.2 , ". " , " " , " " , 0 , 0.299
685 , "5BZBJ0442-0018 " , "2E0439.9-0023 " , "04 42 30.2" , "-00 18 29.8" , "197.19" , "-28.5" , 0.449 , 19.1 , 7300 , 5 , 0 , 1.67 , ". " , " " , " " , 0 , 0.356
686 , "5BZQJ0442-2825 " , "PKS 0440-285 " , "04 42 37.66" , "-28 25 30.89" , "228.68" , "-39.36" , 1.952 , 18.5 , 7211 , 357 , 0 , 1.63 , ". " , " " , " " , 0 , 0.697
687 , "5BZQJ0442-0017 " , "PKS0440-00 " , "04 42 38.65" , "-00 17 43.4" , "197.19" , "-28.47" , 0.845 , 18.2 , 7211 , 1773 , 724 , 1.7 , ". " , " " , " " , 5.9e-9 , 0.776
688 , "5BZGJ0445-6014 " , "1FGL_J0445.2-600" , "04 45 01.51" , "-60 14 59.71" , "270.06" , "-38.86" , 0.097 , 13.7 , 7309 , 54 , 0 , 0 , ". " , " " , " " , 8e-10 , 0.089
689 , "5BZQJ0446+3900 " , "BZQJ0446+3900 " , "04 46 11.48" , "+39 00 17.1" , "164.66" , "-4.16" , 0.413 , 18.4 , 7211 , 155 , 0 , 0.17 , ". " , " " , " " , 0 , 0.494
690 , "5BZQJ0447-0322 " , "1WGAJ0447.9-0322" , "04 47 54.73" , "-03 22 42.31" , "200.98" , "-28.88" , 0.774 , 15.4 , 7211 , 87 , 0 , 1.09 , ". " , " " , " " , 0 , 0.307
691 , "5BZQJ0448-3659 " , "PKS0446-370 " , "04 48 15.04" , "-36 59 02.18" , "239.88" , "-39.67" , 0.561 , 19.3 , 7211 , 408 , 0 , 0 , ". " , " " , " " , 0 , 0.752
692 , "5BZQJ0448-2109 " , "MC1 0446-212 " , "04 48 17.38" , "-21 09 44.71" , "220.3" , "-36.12" , 1.971 , 19.1 , 7211 , 263 , 0 , 0.19 , ". " , " " , " " , 4e-10 , 0.715
693 , "5BZQJ0448-5041 " , "CRATESJ044820-50" , "04 48 22.3" , "-50 41 33.79" , "257.74" , "-39.89" , 1.479 , 19.6 , 7211 , 40 , 0 , 0 , ". " , " " , " " , 0 , 0.635
694 , "5BZQJ0448-2626 " , "CRATESJ044825-26" , "04 48 23.95" , "-26 26 14.78" , "226.62" , "-37.64" , 1.764 , 19.6 , 7211 , 164 , 0 , 0.22 , ". " , " " , " " , 0 , 0.723
695 , "5BZBJ0448-1632 " , "RXSJ04486-1632 " , "04 48 37.63" , "-16 32 42.79" , "215.03" , "-34.44" , 0 , 16.6 , 7300 , 59 , 0 , 3.22 , ". " , " " , " " , 9e-10 , 0.329
696 , "5BZQJ0448-7417 " , "PKS 0449-743 " , "04 48 48.54" , "-74 17 31.2" , "286.58" , "-34.19" , 1.208 , 17.9 , 7211 , 293 , 0 , 0.31 , ". " , " " , " " , 0 , 0.599
697 , "5BZQJ0448+1127 " , "BZQJ0448+1127 " , "04 48 50.4" , "+11 27 54.39" , "187.28" , "-20.74" , 1.37 , 19.3 , 7211 , 284 , 0 , 0 , ". " , " " , " " , 3.4e-9 , 0.688
698 , "5BZQJ0449+1121 " , "1Jy0446+112 " , "04 49 07.67" , "+11 21 28.58" , "187.42" , "-20.74" , 2.153 , 19.9 , 7211 , 847 , 818 , 0.26 , ". " , " " , " " , 3.4e-9 , 0.822
699 , "5BZQJ0449+6332 " , "S40444+634 " , "04 49 23.3" , "+63 32 09.38" , "146.03" , "11.93" , 0.781 , 18.7 , 7211 , 426 , 406 , 0 , ". " , " " , " " , 0 , 0.663
700 , "5BZBJ0449-4350 " , "PKS0447-439 " , "04 49 24.7" , "-43 50 08.98" , "248.8" , "-39.92" , 0.205 , 14.9 , 7300 , 359 , 0 , 8.12 , " ? " , " " , " " , 1.14e-8 , 0.348
701 , "5BZQJ0449-4809 " , "CRATESJ044940-48" , "04 49 39.59" , "-48 09 40.71" , "254.44" , "-39.84" , 1.497 , 18.9 , 7211 , 100 , 0 , 0 , ". " , " " , " " , 0 , 0.628
702 , "5BZQJ0449-3911 " , "PKS 0448-392 " , "04 49 42.24" , "-39 11 09.49" , "242.76" , "-39.61" , 1.29 , 16 , 7211 , 542 , 0 , 0.94 , ". " , " " , " " , 0 , 0.548
703 , "5BZQJ0449-0057 " , "PKS0447-010 " , "04 49 42.89" , "-00 57 22.28" , "198.86" , "-27.28" , 0.487 , 18.2 , 7211 , 483 , 0 , 0 , ". " , " " , " " , 0 , 0.668
704 , "5BZQJ0450-8101 " , "PKS0454-81 " , "04 50 05.44" , "-81 01 02.2" , "293.85" , "-31.38" , 0.444 , 18.8 , 7211 , 821 , 951 , 0.45 , ". " , " " , " " , 0 , 0.799
705 , "5BZQJ0450-1837 " , "PKS 0448-187 " , "04 50 35.9" , "-18 37 00.4" , "217.58" , "-34.75" , 2.05 , 19.4 , 7211 , 439 , 0 , 0 , " ? " , " " , " " , 0 , 0.78
706 , "5BZQJ0451-4653 " , "PKS 0450-469 " , "04 51 53.34" , "-46 53 19.89" , "252.77" , "-39.5" , 0.602 , 19 , 7211 , 476 , 0 , 0.38 , ". " , " " , " " , 0 , 0.769
707 , "5BZQJ0452+1236 " , "GB6J0452+1236 " , "04 52 42.59" , "+12 36 24.58" , "186.87" , "-19.31" , 1.177 , 19.5 , 7211 , 103 , 0 , 0 , ". " , " " , " " , 0 , 0.606
708 , "5BZQJ0453-2807 " , "PKS0451-28 " , "04 53 14.64" , "-28 07 37.3" , "229.01" , "-37.02" , 2.564 , 17.9 , 7211 , 2541 , 1486 , 0.22 , ". " , " " , " " , 1.9e-9 , 0.813
709 , "5BZQJ0455-4615 " , "PKS0454-46 " , "04 55 50.76" , "-46 15 58.71" , "251.96" , "-38.82" , 0.858 , 16.8 , 7211 , 2100 , 1024 , 0.78 , ". " , " " , " " , 1.4e-9 , 0.707
710 , "5BZQJ0456-3136 " , "1FGL_J0456.4-313" , "04 56 36.67" , "-31 36 12.49" , "233.46" , "-37.09" , 0.865 , 19.7 , 7211 , 88 , 0 , 0.3 , ". " , " " , " " , 5e-10 , 0.694
711 , "5BZQJ0456+0400 " , "PKS 0454+039 " , "04 56 47.16" , "+04 00 52.88" , "195.16" , "-23.2" , 1.349 , 16.3 , 7211 , 351 , 0 , 0.44 , ". " , " " , " " , 0 , 0.499
712 , "5BZQJ0457-2324 " , "PKS0454-234 " , "04 57 03.18" , "-23 24 51.98" , "223.7" , "-34.9" , 1.003 , 17.9 , 7211 , 1727 , 1276 , 0.6 , ". " , " " , " " , 2.27e-8 , 0.791
713 , "5BZQJ0457+0645 " , "PLCKERC217G192.7" , "04 57 07.71" , "+06 45 07.3" , "192.7" , "-21.67" , 0.405 , 18.9 , 7211 , 518 , 550 , 0.52 , ". " , " " , " " , 1.4e-9 , 0.736
714 , "5BZQJ0457-1819 " , "CRATESJ045755-18" , "04 57 54.33" , "-18 19 16.1" , "217.99" , "-33.03" , 1.527 , 17 , 7211 , 57 , 0 , 0 , ". " , " " , " " , 0 , 0.441
715 , "5BZQJ0501-0159 " , "4C-02.19 " , "05 01 12.81" , "-01 59 14.31" , "201.45" , "-25.3" , 2.291 , 17.9 , 7211 , 2264 , 621 , 0.92 , ". " , " " , " " , 9e-10 , 0.788
716 , "5BZQJ0502+0609 " , "PKS 0459+060 " , "05 02 15.44" , "+06 09 07.48" , "193.98" , "-20.91" , 1.106 , 18.3 , 7211 , 915 , 0 , 0 , ". " , " " , " " , 5e-10 , 0.728
717 , "5BZBJ0502+1338 " , "PKS 0459+135 " , "05 02 33.2" , "+13 38 10.89" , "187.41" , "-16.75" , 0 , 19.5 , 7300 , 545 , 0 , 0.16 , ". " , " " , " " , 0 , 0.712
718 , "5BZBJ0503+6534 " , "IPC0458+6530 " , "05 03 05.81" , "+65 34 01.19" , "145.27" , "14.33" , 0 , 17.4 , 7390 , 76 , 0 , 5.05 , ". " , " " , " " , 0 , 0.333
719 , "5BZBJ0503-1115 " , "SHBLJ050335.6-11" , "05 03 35.43" , "-11 15 06.08" , "211.02" , "-29" , 0 , 19.9 , 7300 , 10 , 0 , 4.64 , ". " , " " , " " , 0 , 0.499
720 , "5BZQJ0503+6600 " , "GB6J0503+6600 " , "05 03 56.44" , "+66 00 31.5" , "144.94" , "14.65" , 1.696 , 19.8 , 7211 , 121 , 0 , 0 , ". " , " " , " " , 0 , 0.672
721 , "5BZQJ0503+3403 " , "B2 0500+33 " , "05 03 56.77" , "+34 03 28.11" , "170.77" , "-4.47" , 0.149 , 17.9 , 7211 , 913 , 0 , 0.35 , ". " , " " , " " , 0 , 0.496
722 , "5BZUJ0504-6049 " , "PKS 0503-608 " , "05 04 01.69" , "-60 49 52.49" , "270.2" , "-36.45" , 1.037 , 19.3 , 7900 , 564 , 0 , 0.2 , " ? " , " " , " " , 0 , 0.713
723 , "5BZQJ0505+0459 " , "PKS 0502+049 " , "05 05 23.17" , "+04 59 42.68" , "195.47" , "-20.86" , 0.954 , 18.1 , 7211 , 987 , 657 , 0.54 , ". " , " " , " " , 1.3e-9 , 0.716
724 , "5BZBJ0505+0415 " , "1RXSJ050534.7+04" , "05 05 34.78" , "+04 15 54.68" , "196.17" , "-21.2" , 0.424 , 16.8 , 7300 , 168 , 0 , 3.07 , ". " , " " , " " , 8e-10 , 0.391
725 , "5BZQJ0505-0419 " , "S3 0503-04 " , "05 05 51.23" , "-04 19 26.61" , "204.33" , "-25.4" , 1.481 , 21.1 , 7211 , 213 , 0 , 0.09 , ". " , " " , " " , 6e-10 , 0.833
726 , "5BZQJ0505-2930 " , "CGRaBSJ0505-2930" , "05 05 55.84" , "-29 30 38.19" , "231.51" , "-34.67" , 1.07 , 17.6 , 7211 , 186 , 0 , 0.39 , " ? " , " " , " " , 0 , 0.604
727 , "5BZBJ0505+6113 " , "2FGLJ0505.9+6116" , "05 05 58.79" , "+61 13 35.9" , "149.1" , "12.09" , 0 , 18.7 , 7300 , 22 , 0 , 0.71 , ". " , " " , " " , 6e-10 , 0.34
728 , "5BZBJ0506-0858 " , "1RXSJ050640.2-08" , "05 06 39.89" , "-08 58 01.59" , "209.05" , "-27.33" , 0 , 18 , 7300 , 21 , 0 , 0.26 , ". " , " " , " " , 6e-10 , 0.352
729 , "5BZQJ0506-6109 " , "PKS0506-61 " , "05 06 43.98" , "-61 09 41.0" , "270.54" , "-36.08" , 1.093 , 16.9 , 7211 , 1800 , 514 , 1 , ". " , " " , " " , 0 , 0.698
730 , "5BZBJ0506-5435 " , "1RXSJ050656.8-54" , "05 06 57.79" , "-54 35 03.8" , "262.42" , "-36.78" , 0 , 16.1 , 7300 , 18 , 0 , 5.44 , ". " , " " , " " , 5e-10 , 0.184
731 , "5BZQJ0507-6104 " , "CRATESJ050755-61" , "05 07 54.66" , "-61 04 43.1" , "270.42" , "-35.95" , 1.089 , 17.7 , 7211 , 842 , 188 , 0.47 , ". " , " " , " " , 1.3e-9 , 0.685
732 , "5BZBJ0507+6737 " , "1ES0502+675 " , "05 07 56.25" , "+67 37 24.38" , "143.79" , "15.89" , 0.416 , 17.2 , 7300 , 26 , 0 , 12.9 , " ? " , " " , " " , 2.4e-9 , 0.298
733 , "5BZQJ0508-6433 " , "1RXSJ050821.3-64" , "05 08 20.39" , "-64 33 17.31" , "274.62" , "-35.32" , 0.518 , 17.1 , 7211 , 33 , 0 , 0.33 , ". " , " " , " " , 0 , 0.432
734 , "5BZBJ0508+8432 " , "S5 0454+844 " , "05 08 42.36" , "+84 32 04.48" , "128.35" , "24.65" , 1.34 , 17.4 , 7300 , 295 , 0 , 0.39 , ". " , " " , " " , 0 , 0.545
735 , "5BZBJ0509+0541 " , "PCCS1217G195.39-" , "05 09 25.96" , "+05 41 35.3" , "195.4" , "-19.64" , 0 , 14.3 , 7300 , 536 , 395 , 0.56 , ". " , " " , " " , 4.9e-9 , 0.378
736 , "5BZQJ0509+1011 " , "PKS 0506+101 " , "05 09 27.46" , "+10 11 44.59" , "191.38" , "-17.24" , 0.621 , 18.5 , 7211 , 465 , 0 , 0.43 , ". " , " " , " " , 1.3e-9 , 0.667
737 , "5BZBJ0509-0400 " , "EXO0507.1-0404 " , "05 09 38.14" , "-04 00 45.5" , "204.51" , "-24.43" , 0.304 , 17.9 , 7390 , 71 , 0 , 9.07 , ". " , " " , " " , 0 , 0.388
738 , "5BZBJ0509-2514 " , "SHBLJ050940.0-25" , "05 09 39.85" , "-25 14 03.58" , "226.83" , "-32.71" , 0.264 , 19 , 7300 , 4 , 0 , 1.21 , ". " , " " , " " , 0 , 0.411
739 , "5BZQJ0510+1800 " , "1WGAJ0510.0+1800" , "05 10 02.36" , "+18 00 41.61" , "184.73" , "-12.79" , 0.416 , 19.1 , 7211 , 705 , 644 , 0.38 , ". " , " " , " " , 1.2e-9 , 0.72
740 , "5BZQJ0511+1357 " , "BZQJ0511+1357 " , "05 11 38.31" , "+13 57 19.11" , "188.41" , "-14.74" , 1.696 , 18.9 , 7211 , 503 , 0 , 0 , ". " , " " , " " , 0 , 0.675
741 , "5BZQJ0513+0100 " , "GB6J0513+0100b " , "05 13 40.02" , "+01 00 21.6" , "200.28" , "-21.12" , 2.679 , 19.3 , 7211 , 448 , 0 , 0 , ". " , " " , " " , 0 , 0.736
742 , "5BZQJ0513-2159 " , "PKS0511-220 " , "05 13 49.11" , "-21 59 16.11" , "223.56" , "-30.78" , 1.296 , 19.6 , 7211 , 648 , 0 , 0.36 , ". " , " " , " " , 0 , 0.844
743 , "5BZQJ0514+5602 " , "TEX0510+559 " , "05 14 18.7" , "+56 02 11.11" , "154.07" , "10" , 2.19 , 0 , 7211 , 325 , 0 , 0.09 , ". " , " " , " " , 0 , -9.9
744 , "5BZQJ0515-4556 " , "1Jy0514-459 " , "05 15 45.23" , "-45 56 43.29" , "251.73" , "-35.36" , 0.194 , 16.3 , 7211 , 1471 , 521 , 1.13 , ". " , " " , " " , 4e-10 , 0.605
745 , "5BZBJ0515+1527 " , "GB6B0512+1524 " , "05 15 47.34" , "+15 27 16.48" , "187.69" , "-13.08" , 0 , 18.3 , 7300 , 27 , 0 , 0.14 , ". " , " " , " " , 1.4e-9 , 0.368
746 , "5BZQJ0516-1603 " , "PKS 0514-16 " , "05 16 15.93" , "-16 03 07.59" , "217.43" , "-28.11" , 1.278 , 16.7 , 7211 , 911 , 0 , 0.27 , ". " , " " , " " , 0 , 0.611
747 , "5BZBJ0516+7351 " , "1RXSJ051631.7+73" , "05 16 31.2" , "+73 51 08.6" , "138.62" , "19.78" , 0 , 18.2 , 7300 , 58 , 0 , 0.74 , ". " , " " , " " , 4e-10 , 0.43
748 , "5BZBJ0516-6207 " , "MC4 0516-621 " , "05 16 44.93" , "-62 07 05.41" , "271.5" , "-34.77" , 1.3 , 17.5 , 7300 , 418 , 764 , 3.1 , " ? " , " " , " " , 3.1e-9 , 0.559
749 , "5BZQJ0516-1537 " , "CRATESJ051656-15" , "05 16 57.18" , "-15 37 10.41" , "217.05" , "-27.79" , 1.595 , 18.8 , 7211 , 233 , 0 , 0 , ". " , " " , " " , 0 , 0.667
750 , "5BZQJ0517-0520 " , "CRATESJ051728-05" , "05 17 28.11" , "-05 20 40.81" , "206.8" , "-23.31" , 1.413 , 18.8 , 7211 , 212 , 0 , 0 , ". " , " " , " " , 0 , 0.63
751 , "5BZUJ0517+0858 " , "GB6J0517+0858 " , "05 17 40.04" , "+08 58 35.79" , "193.59" , "-16.18" , 0.328 , 19 , 7900 , 73 , 0 , 0 , ". " , " " , " " , 0 , 0.47
752 , "5BZQJ0517+0648 " , "PKS 0515+067 " , "05 17 51.34" , "+06 48 03.2" , "195.55" , "-17.28" , 0.84 , 19.2 , 7211 , 668 , 0 , 0.44 , ". " , " " , " " , 0 , 0.772
753 , "5BZQJ0521-1737 " , "1RXSJ052123.8-17" , "05 21 23.56" , "-17 37 30.21" , "219.6" , "-27.57" , 0.347 , 17.8 , 7211 , 459 , 0 , 0.21 , ". " , " " , " " , 5e-10 , 0.651
754 , "5BZBJ0521+2112 " , "GB6J0521+2113 " , "05 21 45.96" , "+21 12 51.51" , "183.6" , "-8.71" , 0 , 15.5 , 7300 , 530 , 0 , 1.4 , ". " , " " , " " , 9e-9 , 0.304
755 , "5BZQJ0522+0113 " , "GC0519+01 " , "05 22 17.46" , "+01 13 31.18" , "201.21" , "-19.13" , 2.941 , 20.2 , 7211 , 661 , 0 , 0 , ". " , " " , " " , 4e-10 , 0.838
756 , "5BZQJ0522-0725 " , "RXSJ05224-0725 " , "05 22 23.2" , "-07 25 13.4" , "209.41" , "-23.16" , 0.164 , 14.8 , 7211 , 55 , 0 , 2.1 , ". " , " " , " " , 0 , 0.223
757 , "5BZQJ0522-6107 " , "PKS 0522-611 " , "05 22 34.43" , "-61 07 57.1" , "270.23" , "-34.19" , 1.4 , 18.1 , 7211 , 741 , 0 , 0.35 , ". " , " " , " " , 0 , 0.717
758 , "5BZQJ0522-1627 " , "CRATESJ052243-16" , "05 22 44.64" , "-16 27 52.41" , "218.53" , "-26.84" , 1.297 , 17.5 , 7211 , 230 , 0 , 0 , ". " , " " , " " , 0 , 0.571
759 , "5BZUJ0522-3627 " , "PKS0521-36 " , "05 22 57.97" , "-36 27 30.81" , "240.6" , "-32.72" , 0.056 , 14.6 , 7900 , 15620 , 3815 , 10.4 , ". " , " " , " " , 4.9e-9 , 0.62
760 , "5BZQJ0523-2614 " , "PKS 0521-262 " , "05 23 18.47" , "-26 14 09.6" , "229.03" , "-30.07" , 3.109 , 17.8 , 7211 , 1355 , 0 , 0 , ". " , " " , " " , 0 , 0.752
761 , "5BZUJ0525-3343 " , "1RXSJ052505.0-33" , "05 25 06.17" , "-33 43 05.48" , "237.55" , "-31.7" , 4.413 , 18.5 , 7900 , 188 , 0 , 0.42 , ". " , " " , " " , 0 , 0.519
762 , "5BZQJ0525-2338 " , "CGRaBSJ0525-2338" , "05 25 06.51" , "-23 38 10.78" , "226.34" , "-28.87" , 3.1 , 17.7 , 7211 , 398 , 418 , 0.27 , ". " , " " , " " , 0 , 0.632
763 , "5BZQJ0525-4557 " , "1Jy0524-460 " , "05 25 31.39" , "-45 57 54.68" , "251.93" , "-33.67" , 1.479 , 15.8 , 7211 , 2126 , 0 , 0.42 , ". " , " " , " " , 0 , 0.625
764 , "5BZQJ0525-4318 " , "PKS0524-433 " , "05 25 54.89" , "-43 18 01.18" , "248.76" , "-33.29" , 2.164 , 19.3 , 7211 , 456 , 0 , 0 , ". " , " " , " " , 0 , 0.773
765 , "5BZQJ0526-4830 " , "PKS0524-485 " , "05 26 16.67" , "-48 30 36.79" , "254.99" , "-33.76" , 1.3 , 19.4 , 7211 , 377 , 395 , 0.38 , ". " , " " , " " , 1.5e-9 , 0.77
766 , "5BZBJ0527+0331 " , "PKSB0524+034 " , "05 27 32.7" , "+03 31 31.51" , "199.78" , "-16.86" , 0 , 17.2 , 7300 , 252 , 489 , 0 , ". " , " " , " " , 0 , 0.466
767 , "5BZUJ0528-5820 " , "1WGAJ0528.5-5820" , "05 28 34.72" , "-58 20 17.3" , "266.81" , "-33.6" , 0.254 , 16.3 , 7900 , 282 , 0 , 0.25 , ". " , " " , " " , 0 , 0.378
768 , "5BZQJ0529-0519 " , "CGRaBSJ0529-0519" , "05 29 53.52" , "-05 19 41.59" , "208.3" , "-20.56" , 0.685 , 20.3 , 7211 , 103 , 0 , 0 , ". " , " " , " " , 9e-10 , 0.705
769 , "5BZQJ0530-2503 " , "PKS 0528-250 " , "05 30 07.96" , "-25 03 29.91" , "228.29" , "-28.25" , 2.778 , 17.7 , 7211 , 1162 , 0 , 0.28 , ". " , " " , " " , 0 , 0.728
770 , "5BZQJ0530+1331 " , "PKS 0528+134 " , "05 30 56.41" , "+13 31 55.09" , "191.36" , "-11.02" , 2.07 , 18.9 , 7211 , 1556 , 516 , 0.8 , ". " , " " , " " , 2.6e-9 , 0.749
771 , "5BZQJ0532-3848 " , "CGRaBSJ0532-3848" , "05 32 02.05" , "-38 48 54.28" , "243.74" , "-31.42" , 1.315 , 19.3 , 7211 , 169 , 0 , 0 , ". " , " " , " " , 4e-10 , 0.694
772 , "5BZUJ0532-0307 " , "CRATESJ053207-03" , "05 32 07.51" , "-03 07 06.99" , "206.49" , "-19.05" , 1.88 , 20.8 , 7900 , 260 , 0 , 0 , ". " , " " , " " , 0 , 0.694
773 , "5BZQJ0532+0732 " , "PLCKERC217G196.8" , "05 32 38.99" , "+07 32 43.29" , "196.84" , "-13.74" , 1.254 , 17.5 , 7211 , 2729 , 768 , 0.31 , ". " , " " , " " , 4.1e-9 , 0.709
774 , "5BZQJ0533+4822 " , "1RXSJ053317.1+48" , "05 33 15.86" , "+48 22 52.78" , "162.16" , "8.23" , 1.16 , 18.3 , 7211 , 434 , 1014 , 0.23 , ". " , " " , " " , 2.9e-9 , 0.595
775 , "5BZQJ0533-8324 " , "2FGLJ0531.8-8324" , "05 33 36.77" , "-83 24 34.09" , "295.81" , "-29.15" , 0.774 , 20 , 7211 , 84 , 0 , 0 , ". " , " " , " " , 1.3e-9 , 0.675
776 , "5BZBJ0533-4632 " , "CRATESJ053338-46" , "05 33 40.81" , "-46 32 15.0" , "252.79" , "-32.33" , 0.332 , 19.2 , 7300 , 246 , 0 , 0.13 , ". " , " " , " " , 0 , 0.719
777 , "5BZBJ0533-7216 " , "2FGLJ0532.5-7223" , "05 33 44.7" , "-72 16 24.31" , "283.22" , "-31.64" , 0 , 18.8 , 7300 , 155 , 0 , 0 , ". " , " " , " " , 4e-10 , 0.609
778 , "5BZQJ0534-3747 " , "PKS0532-378 " , "05 34 17.48" , "-37 47 25.8" , "242.68" , "-30.78" , 1.668 , 20 , 7211 , 736 , 0 , 0.2 , ". " , " " , " " , 0 , 0.874
779 , "5BZQJ0534-6106 " , "PKS 0534-611 " , "05 34 35.76" , "-61 06 07.09" , "270.07" , "-32.74" , 1.997 , 19.6 , 7211 , 451 , 243 , 0.23 , ". " , " " , " " , 0 , 0.79
780 , "5BZQJ0535-0239 " , "1WGAJ0535.1-0239" , "05 35 12.25" , "-02 39 06.69" , "206.43" , "-18.15" , 1.033 , 19 , 7211 , 48 , 0 , 0.12 , ". " , " " , " " , 0 , 0.49
781 , "5BZQJ0536-3401 " , "PKS0534-340 " , "05 36 28.43" , "-34 01 11.49" , "238.55" , "-29.49" , 0.684 , 17.1 , 7211 , 652 , 0 , 0.69 , ". " , " " , " " , 0 , 0.639
782 , "5BZBJ0536-3343 " , "1WGAJ0536.4-3342" , "05 36 29.06" , "-33 43 02.38" , "238.22" , "-29.41" , 0 , 16.8 , 7300 , 94 , 0 , 4.84 , ". " , " " , " " , 2.1e-9 , 0.399
783 , "5BZBJ0537-5718 " , "2FGLJ0537.7-5716" , "05 37 48.95" , "-57 18 30.2" , "265.56" , "-32.39" , 0 , 17.2 , 7300 , 102 , 0 , 0.45 , ". " , " " , " " , 4e-10 , 0.427
784 , "5BZUJ0538-3908 " , "1RXSJ053810.0-39" , "05 38 10.36" , "-39 08 42.5" , "244.4" , "-30.32" , 0 , 17.9 , 7900 , 24 , 0 , 0.65 , ". " , " " , " " , 6e-10 , 0.362
785 , "5BZBJ0538-4405 " , "PKS0537-441 " , "05 38 50.35" , "-44 05 08.91" , "250.08" , "-31.1" , 0.892 , 16 , 7300 , 3729 , 5955 , 2.1 , ". " , " " , " " , 3.71e-8 , 0.64
786 , "5BZQJ0539-3427 " , "PKS0537-344 " , "05 39 05.45" , "-34 27 12.7" , "239.19" , "-29.07" , 0.263 , 19.5 , 7211 , 236 , 0 , 0.16 , ". " , " " , " " , 0 , 0.721
787 , "5BZUJ0539-1550 " , "PKS 0537-158 " , "05 39 32.0" , "-15 50 30.29" , "219.63" , "-22.88" , 0.947 , 16.6 , 7900 , 599 , 0 , 0.68 , " ? " , " " , " " , 0 , 0.49
788 , "5BZQJ0539+1433 " , "TEX0536+145 " , "05 39 42.36" , "+14 33 45.61" , "191.59" , "-8.66" , 2.69 , 19.8 , 7211 , 433 , 245 , 0 , ". " , " " , " " , 0 , 0.664
789 , "5BZQJ0539-2839 " , "1Jy0537-286 " , "05 39 54.28" , "-28 39 55.9" , "232.93" , "-27.3" , 3.104 , 19 , 7211 , 862 , 540 , 0.83 , ". " , " " , " " , 6e-10 , 0.803
790 , "5BZBJ0540+2507 " , "B2.2 0537+25 " , "05 40 14.33" , "+25 07 55.3" , "182.6" , "-3.02" , 0.623 , 19.5 , 7300 , 271 , 0 , 0 , ". " , " " , " " , 0 , 0.431
791 , "5BZBJ0540+5823 " , "2FGLJ0540.4+5822" , "05 40 30.0" , "+58 23 38.39" , "153.93" , "14.25" , 0 , 17.5 , 7300 , 30 , 0 , 5.46 , ". " , " " , " " , 8e-10 , 0.304
792 , "5BZQJ0540-5418 " , "PKS0539-543 " , "05 40 45.84" , "-54 18 22.1" , "262.04" , "-31.87" , 1.185 , 17.3 , 7211 , 387 , 430 , 0.2 , ". " , " " , " " , 8e-10 , 0.584
