id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Comment on redshift , Comment on rmag , Commenton radio flux , Fermi flux1-100 GeV(ph/cm2/s) , aro-aox-arx
27 , "5BZBJ0009+5030 " , "2FGLJ0009.1+5030" , "00 09 22.77" , "+50 30 28.58" , "116.12" , "-11.81" , 0 , 19.4 , 7300 , 12 , 0 , 0.24 , ". " , " " , " " , 2.2e-9 , 0.426
28 , "5BZQJ0010+2047 " , "1WGAJ0010.4+2048" , "00 10 28.74" , "+20 47 50.09" , "110.2" , "-41.06" , 0.6 , 19.3 , 7211 , 159 , 0 , 0.51 , ". " , " " , " " , 0 , 0.671
29 , "5BZQJ0010+1058 " , "III ZW 2 " , "00 10 31.0" , "+10 58 29.6" , "106.98" , "-50.63" , 0.089 , 15.8 , 7211 , 98 , 1404 , 6.14 , ". " , " " , " " , 0 , 0.466
30 , "5BZQJ0010+1724 " , "PKS 0008+171 " , "00 10 33.99" , "+17 24 19.0" , "109.23" , "-44.38" , 1.601 , 16.7 , 7211 , 918 , 0 , 0.65 , ". " , " " , " " , 0 , 0.634
31 , "5BZQJ0010-3027 " , "PKS0008-307 " , "00 10 35.71" , "-30 27 47.41" , "10.08" , "-80.46" , 1.19 , 18.8 , 7211 , 315 , 0 , 0.17 , ". " , " " , " " , 0 , 0.719
32 , "5BZQJ0010-2945 " , "PKS0008-300 " , "00 10 45.18" , "-29 45 13.21" , "14.19" , "-80.69" , 2.344 , 18.8 , 7211 , 404 , 0 , 0 , ". " , " " , " " , 0 , 0.73
33 , "5BZQJ0011-2612 " , "PKS 0008-264 " , "00 11 01.21" , "-26 12 32.0" , "36.46" , "-80.93" , 1.096 , 18.8 , 7211 , 210 , 0 , 0 , ". " , " " , " " , 0 , 0.691
34 , "5BZQJ0011-3620 " , "1WGAJ0011.2-3620" , "00 11 14.71" , "-36 20 39.4" , "343.22" , "-77.45" , 2.324 , 21.3 , 7211 , 66 , 0 , 0.02 , ". " , " " , " " , 0 , 0.783
35 , "5BZQJ0011+0057 " , "1RXSJ001129.6+00" , "00 11 30.4" , "+00 57 51.98" , "102.44" , "-60.31" , 1.492 , 20.7 , 7211 , 167 , 0 , 0.28 , ". " , " " , " " , 5e-10 , 0.803
36 , "5BZGJ0012-1628 " , "BZUJ0012-1628 " , "00 12 33.85" , "-16 28 07.28" , "80.76" , "-76.05" , 0.151 , 15 , 7309 , 94 , 0 , 0.9 , ". " , " " , " " , 0 , 0.218
37 , "5BZQJ0012+3353 " , "GC0010+33 " , "00 12 47.35" , "+33 53 38.61" , "113.82" , "-28.3" , 1.682 , 20.4 , 7211 , 81 , 0 , 0 , ". " , " " , " " , 0 , 0.71
38 , "5BZBJ0012-3954 " , "PKS0010-401 " , "00 12 59.87" , "-39 54 25.81" , "332.46" , "-74.95" , 0 , 18.9 , 7300 , 494 , 257 , 0 , ". " , " " , " " , 5e-10 , 0.818
39 , "5BZQJ0013-1513 " , "CGRaBSJ0013-1513" , "00 13 20.7" , "-15 13 47.2" , "84.35" , "-75.17" , 1.838 , 19.2 , 7211 , 117 , 0 , 0 , ". " , " " , " " , 0 , 0.666
40 , "5BZQJ0013-0423 " , "PKS 0011-046 " , "00 13 54.11" , "-04 23 52.11" , "99.78" , "-65.57" , 1.075 , 19.7 , 7211 , 303 , 0 , 0.3 , ". " , " " , " " , 0 , 0.782
41 , "5BZGJ0013-1854 " , "A0011-1910 " , "00 13 56.03" , "-18 54 06.51" , "74.63" , "-78.09" , 0.095 , 13.4 , 7309 , 29 , 0 , 6.49 , ". " , " " , " " , 0 , 0.023
42 , "5BZBJ0013+1910 " , "CRATESJ001356+19" , "00 13 56.35" , "+19 10 41.98" , "110.82" , "-42.81" , 0.477 , 17.7 , 7300 , 161 , 0 , 0 , ". " , " " , " " , 0 , 0.542
43 , "5BZBJ0014-5022 " , "BZBJ0014-5022 " , "00 14 11.43" , "-50 22 34.89" , "317.44" , "-65.7" , 0 , 18.7 , 7300 , 13 , 0 , 6.98 , ". " , " " , " " , 6e-10 , 0.409
44 , "5BZGJ0014+0854 " , "2E0011.7+0837 " , "00 14 19.75" , "+08 54 01.4" , "107.63" , "-52.87" , 0.162 , 17.2 , 7309 , 324 , 0 , 0.67 , ". " , " " , " " , 0 , 0.486
45 , "5BZQJ0014-3059 " , "PKS0012-312 " , "00 14 37.95" , "-30 59 19.21" , "5.11" , "-81.09" , 2.785 , 19.3 , 7211 , 193 , 0 , 0.12 , ". " , " " , " " , 0 , 0.701
46 , "5BZBJ0014+5802 " , "1RXSJ001442.2+58" , "00 14 42.12" , "+58 02 01.21" , "118.06" , "-4.49" , 0 , 19 , 7300 , 8 , 0 , 1.28 , ". " , " " , " " , 0 , 0.171
47 , "5BZQJ0015-1812 " , "PKS0012-184 " , "00 15 02.47" , "-18 12 50.68" , "77.8" , "-77.77" , 0.743 , 19.6 , 7211 , 387 , 0 , 0.48 , ". " , " " , " " , 0 , 0.784
48 , "5BZBJ0015+3536 " , "SHBLJ001528.3+35" , "00 15 27.96" , "+35 36 39.59" , "114.75" , "-26.69" , 0 , 19.8 , 7300 , 11 , 0 , 1.42 , ". " , " " , " " , 0 , 0.523
49 , "5BZQJ0015+1700 " , "CRATESJ001541+17" , "00 15 39.97" , "+17 00 41.0" , "110.79" , "-45.02" , 1.709 , 21 , 7211 , 135 , 0 , 0 , ". " , " " , " " , 5e-10 , 0.813
